task	true_result	model_result	accuracy
"1. John travelled to the hallway.
2. Mary journeyed to the bathroom.
"7. Mary went back to the bathroom.
8. Sandra is no longer in the bedroom.
9. Is Sandra in the bedroom? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. John is in the office.
11. Mary is not in the bathroom.
12. Is Mary in the bathroom? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. John is in the hallway.
14. Mary journeyed to the garden.
15. Is Mary in the kitchen? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Mary is in the school.
2. Bill is in the kitchen.
3. Is Bill in the bedroom? "	hallway	answer: hallway	0.06
"4. Bill journeyed to the bedroom.
5. Fred travelled to the cinema.
6. Is Bill in the bedroom? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Fred went back to the park.
8. Bill is either in the school or the office.
9. Is Bill in the park? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Mary went to the cinema.
11. Julie is either in the school or the office.
12. Is Fred in the park? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Julie is either in the park or the school.
14. Bill went back to the office.
15. Is Bill in the office? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. John journeyed to the hallway.
2. After that he journeyed to the garden.
3. Where is John? "	hallway	answer: hallway	0.05454545454545454
"4. John moved to the office.
5. Following that he went to the hallway.
6. Where is John? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Sandra travelled to the bedroom.
8. Then she moved to the hallway.
9. Where is Sandra? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Mary travelled to the hallway.
11. Afterwards she went to the bathroom.
12. Where is Sandra? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. John went back to the office.
14. After that he moved to the bathroom.
15. Where is Mary? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. John and Mary travelled to the hallway.
2. Sandra and Mary journeyed to the bedroom.
3. Where is Mary? "	hallway	answer: hallway	0.05
"4. Mary and Daniel travelled to the bathroom.
5. Daniel and Sandra journeyed to the office.
6. Where is Mary? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Daniel and Mary went to the bedroom.
8. Daniel and Sandra travelled to the hallway.
9. Where is Sandra? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. Mary and Sandra journeyed to the garden.
11. Sandra and Mary travelled to the hallway.
12. Where is Mary? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Daniel and John journeyed to the bathroom.
14. Daniel and Mary went back to the office.
15. Where is John? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. John and Mary went back to the hallway.
2. Then they went to the bathroom.
3. Where is John? "	hallway	answer: hallway	0.046153846153846156
"4. Mary and John moved to the hallway.
5. Following that they moved to the kitchen.
6. Where is John? "	bathroom	"1. hallway
2. bathroom
3. hall"
"7. Daniel and Sandra went to the office.
8. Following that they went back to the kitchen.
9. Where is John? "	kitchen	"1. hallway
3. playground
6. kitchen"
"10. John and Daniel journeyed to the office.
11. Following that they travelled to the hallway.
12. Where is Sandra? "	hallway	"1. hallway
2. bathroom
3. hall"
"13. Mary and Sandra travelled to the garden.
14. After that they went back to the kitchen.
15. Where is Sandra? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. This morning Mary moved to the kitchen.
2. This afternoon Mary moved to the cinema.
3. Yesterday Bill went to the bedroom.
4. Yesterday Mary journeyed to the school.
5. Where was Mary before the cinema? "	hallway	answer: hallway	0.04285714285714286
"6. Yesterday Fred went back to the cinema.
7. Bill journeyed to the office this morning.
8. Where was Bill before the office? "	bathroom	"1. hallway
2. bathroom
3. hall"
"9. Mary went to the school this evening.
10. This afternoon Bill journeyed to the kitchen.
11. Where was Bill before the office? "	kitchen	"1. hallway
3. playground
6. kitchen"
"12. Julie went to the office yesterday.
13. This morning Fred journeyed to the office.
14. Where was Mary before the school? "	hallway	"1. hallway
2. bathroom
3. hall"
"15. This evening Fred journeyed to the school.
16. This afternoon Fred journeyed to the bedroom.
17. Where was Mary before the school? "	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Wolves are afraid of mice.
2. Sheep are afraid of mice.
3. Winona is a sheep.
4. Mice are afraid of cats.
5. Cats are afraid of wolves.
6. Jessica is a mouse.
7. Emily is a cat.
8. Gertrude is a wolf.
9. What is emily afraid of?"	hallway	answer: hallway	0.04
10. What is winona afraid of?	bathroom	"1. hallway
2. bathroom
3. hall"
11. What is gertrude afraid of?	kitchen	"1. hallway
3. playground
6. kitchen"
12. What is jessica afraid of?	hallway	"1. hallway
2. bathroom
3. hall"
"1. Cats are afraid of wolves.
2. Mice are afraid of cats.
3. Sheep are afraid of mice.
4. Gertrude is a cat.
5. Wolves are afraid of sheep.
6. Jessica is a mouse.
7. Emily is a wolf.
8. Winona is a cat.
9. What is emily afraid of?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Lily is a swan.
2. Bernhard is a lion.
3. Greg is a swan.
4. Bernhard is white.
5. Brian is a lion.
6. Lily is gray.
7. Julius is a rhino.
8. Julius is gray.
9. Greg is gray.
10. What color is Brian?"	hallway	answer: hallway	0.0375
"1. Lily is a rhino.
2. Brian is a swan.
3. Bernhard is a swan.
4. Lily is gray.
5. Brian is white.
6. Bernhard is white.
7. Julius is a frog.
8. Julius is white.
9. Greg is a frog.
10. What color is Greg?"	bathroom	"1. hallway
2. bathroom
3. hall"
"1. Bernhard is a rhino.
2. Brian is a rhino.
3. Bernhard is white.
4. Brian is white.
5. Lily is a lion.
6. Lily is yellow.
7. Greg is a rhino.
8. Greg is green.
9. Julius is a rhino.
10. What color is Julius?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. Greg is a frog.
2. Bernhard is a swan.
3. Julius is a frog.
4. Bernhard is white.
5. Julius is green.
6. Lily is a frog.
7. Brian is a frog.
8. Lily is gray.
9. Brian is gray.
10. What color is Greg?"	hallway	"1. hallway
2. bathroom
3. hall"
"1. Julius is a swan.
2. Julius is gray.
3. Bernhard is a swan.
4. Bernhard is yellow.
5. Brian is a lion.
6. Greg is a lion.
7. Brian is white.
8. Lily is a frog.
9. Lily is gray.
10. What color is Greg?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The pink rectangle is to the left of the triangle.
2. The triangle is to the left of the red square.
3. Is the pink rectangle to the right of the red square?"	hallway	answer: hallway	0.03529411764705882
4. Is the pink rectangle to the left of the red square?	bathroom	"1. hallway
2. bathroom
3. hall"
5. Is the pink rectangle to the left of the red square?	kitchen	"1. hallway
3. playground
6. kitchen"
6. Is the pink rectangle to the left of the red square?	hallway	"1. hallway
2. bathroom
3. hall"
7. Is the pink rectangle to the right of the red square?	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The suitcase fits inside the box.
2. The chocolate fits inside the box.
3. The container is bigger than the box of chocolates.
4. The container is bigger than the suitcase.
5. The box is bigger than the box of chocolates.
6. The container is bigger than the chocolate.
7. The chocolate fits inside the container.
8. The chocolate fits inside the suitcase.
9. The chocolate fits inside the chest.
10. The suitcase fits inside the container.
11. Does the box fit in the chocolate?"	hallway	answer: hallway	0.03333333333333333
12. Is the chocolate bigger than the box?	bathroom	"1. hallway
2. bathroom
3. hall"
13. Does the box fit in the chocolate?	kitchen	"1. hallway
3. playground
6. kitchen"
14. Does the box fit in the chocolate?	hallway	"1. hallway
2. bathroom
3. hall"
15. Is the chocolate bigger than the box?	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The garden is west of the bathroom.
2. The bedroom is north of the hallway.
3. The office is south of the hallway.
4. The bathroom is north of the bedroom.
5. The kitchen is east of the bedroom.
6. How do you go from the bathroom to the hallway?"	hallway	answer: hallway	0.031578947368421054
"1. The hallway is west of the bathroom.
2. The office is south of the bedroom.
3. The garden is north of the bedroom.
4. The kitchen is east of the bedroom.
5. The hallway is east of the kitchen.
6. How do you go from the bedroom to the hallway?"	bathroom	"1. hallway
2. bathroom
3. hall"
"1. The garden is west of the hallway.
2. The kitchen is west of the garden.
3. The garden is north of the bathroom.
4. The bedroom is east of the bathroom.
5. The hallway is west of the office.
6. How do you go from the bathroom to the hallway?"	kitchen	"1. hallway
3. playground
6. kitchen"
"1. The hallway is south of the bathroom.
2. The kitchen is west of the garden.
3. The kitchen is south of the bedroom.
4. The office is north of the bedroom.
5. The bedroom is east of the bathroom.
6. How do you go from the kitchen to the bathroom?"	hallway	"1. hallway
2. bathroom
3. hall"
"1. The bedroom is east of the bathroom.
2. The hallway is east of the bedroom.
3. The kitchen is west of the garden.
4. The office is south of the bedroom.
5. The office is north of the kitchen.
6. How do you go from the bedroom to the kitchen?"	kitchen	"1. hallway
3. playground
6. kitchen"
