task_id,sample_id,part_id,reasoning,answer
1,4,4,"Tracking Daniel's movements through the context sentences. In sentence 7, Daniel journeyed to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,4,5,"Tracking John's movements through the context sentences. In sentence 1, John moved to the hallway. Then in sentence 2, John journeyed to the kitchen. Then in sentence 5, John journeyed to the garden. Most recently, in sentence 8, John went to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,5,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary journeyed to the kitchen. Most recently, in sentence 2, Mary travelled to the hallway. Since the last recorded movement for Mary places them at the hallway, this is their current location.",hallway
1,5,2,"Tracking John's movements through the context sentences. In sentence 5, John journeyed to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,5,3,"Tracking John's movements through the context sentences. In sentence 5, John journeyed to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,5,4,"Tracking Sandra's movements through the context sentences. In sentence 4, Sandra moved to the office. Most recently, in sentence 7, Sandra travelled to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,5,5,"Tracking Daniel's movements through the context sentences. In sentence 8, Daniel went back to the bathroom. Most recently, in sentence 11, Daniel moved to the bedroom. Since the last recorded movement for Daniel places them at the bedroom, this is their current location.",bedroom
1,6,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the bedroom. Since the last recorded movement for Sandra places them at the bedroom, this is their current location.",bedroom
1,6,2,"Tracking Mary's movements through the context sentences. In sentence 2, Mary went back to the kitchen. Most recently, in sentence 4, Mary went to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,6,3,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel journeyed to the bedroom. Most recently, in sentence 8, Daniel travelled to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,6,4,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel journeyed to the bedroom. Most recently, in sentence 8, Daniel travelled to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,6,5,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel journeyed to the bedroom. Most recently, in sentence 8, Daniel travelled to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,7,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,7,2,"Tracking John's movements through the context sentences. In sentence 5, John moved to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,7,3,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the hallway. Then in sentence 4, Sandra travelled to the kitchen. Then in sentence 7, Sandra went to the bathroom. Most recently, in sentence 8, Sandra moved to the kitchen. Since the last recorded movement for Sandra places them at the kitchen, this is their current location.",kitchen
1,7,4,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the hallway. Then in sentence 4, Sandra travelled to the kitchen. Then in sentence 7, Sandra went to the bathroom. Then in sentence 8, Sandra moved to the kitchen. Then in sentence 10, Sandra journeyed to the bedroom. Most recently, in sentence 11, Sandra went to the kitchen. Since the last recorded movement for Sandra places them at the kitchen, this is their current location.",kitchen
1,7,5,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the hallway. Then in sentence 4, Sandra travelled to the kitchen. Then in sentence 7, Sandra went to the bathroom. Then in sentence 8, Sandra moved to the kitchen. Then in sentence 10, Sandra journeyed to the bedroom. Then in sentence 11, Sandra went to the kitchen. Most recently, in sentence 14, Sandra went to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,8,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went back to the bedroom. Most recently, in sentence 2, Mary moved to the office. Since the last recorded movement for Mary places them at the office, this is their current location.",office
1,8,2,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went back to the bedroom. Then in sentence 2, Mary moved to the office. Most recently, in sentence 4, Mary went back to the bathroom. Since the last recorded movement for Mary places them at the bathroom, this is their current location.",bathroom
1,8,3,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went back to the bedroom. Then in sentence 2, Mary moved to the office. Then in sentence 4, Mary went back to the bathroom. Most recently, in sentence 7, Mary went to the garden. Since the last recorded movement for Mary places them at the garden, this is their current location.",garden
1,8,4,"Tracking Sandra's movements through the context sentences. In sentence 5, Sandra moved to the hallway. Most recently, in sentence 8, Sandra went to the kitchen. Since the last recorded movement for Sandra places them at the kitchen, this is their current location.",kitchen
1,8,5,"Tracking Daniel's movements through the context sentences. In sentence 10, Daniel journeyed to the bedroom. Since the last recorded movement for Daniel places them at the bedroom, this is their current location.",bedroom
1,9,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra went to the office. Most recently, in sentence 2, Sandra travelled to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,9,2,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel moved to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,9,3,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra went to the office. Most recently, in sentence 2, Sandra travelled to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,9,4,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel moved to the garden. Most recently, in sentence 8, Daniel went back to the hallway. Since the last recorded movement for Daniel places them at the hallway, this is their current location.",hallway
1,9,5,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel moved to the garden. Then in sentence 8, Daniel went back to the hallway. Most recently, in sentence 14, Daniel went to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,10,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went back to the kitchen. Since the last recorded movement for Mary places them at the kitchen, this is their current location.",kitchen
1,10,2,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel journeyed to the hallway. Since the last recorded movement for Daniel places them at the hallway, this is their current location.",hallway
1,10,3,"Tracking Sandra's movements through the context sentences. In sentence 5, Sandra journeyed to the bedroom. Then in sentence 7, Sandra moved to the garden. Most recently, in sentence 8, Sandra moved to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,10,4,"Tracking John's movements through the context sentences. In sentence 11, John moved to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,10,5,"Tracking John's movements through the context sentences. In sentence 11, John moved to the office. Most recently, in sentence 14, John moved to the bedroom. Since the last recorded movement for John places them at the bedroom, this is their current location.",bedroom
1,11,1,"Tracking John's movements through the context sentences. In sentence 1, John journeyed to the hallway. Most recently, in sentence 2, John journeyed to the bedroom. Since the last recorded movement for John places them at the bedroom, this is their current location.",bedroom
1,11,2,"Tracking John's movements through the context sentences. In sentence 1, John journeyed to the hallway. Then in sentence 2, John journeyed to the bedroom. Most recently, in sentence 5, John journeyed to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,11,3,"Tracking John's movements through the context sentences. In sentence 1, John journeyed to the hallway. Then in sentence 2, John journeyed to the bedroom. Then in sentence 5, John journeyed to the office. Most recently, in sentence 7, John moved to the garden. Since the last recorded movement for John places them at the garden, this is their current location.",garden
1,11,4,"Tracking John's movements through the context sentences. In sentence 1, John journeyed to the hallway. Then in sentence 2, John journeyed to the bedroom. Then in sentence 5, John journeyed to the office. Most recently, in sentence 7, John moved to the garden. Since the last recorded movement for John places them at the garden, this is their current location.",garden
1,11,5,"Tracking Daniel's movements through the context sentences. In sentence 4, Daniel journeyed to the bedroom. Then in sentence 8, Daniel moved to the garden. Most recently, in sentence 10, Daniel went back to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,12,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,12,2,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went to the bedroom. Most recently, in sentence 4, Mary travelled to the kitchen. Since the last recorded movement for Mary places them at the kitchen, this is their current location.",kitchen
1,12,3,"Tracking Mary's movements through the context sentences. In sentence 1, Mary went to the bedroom. Then in sentence 4, Mary travelled to the kitchen. Most recently, in sentence 8, Mary journeyed to the hallway. Since the last recorded movement for Mary places them at the hallway, this is their current location.",hallway
1,12,4,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel journeyed to the bathroom. Most recently, in sentence 5, Daniel moved to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,12,5,"Tracking Sandra's movements through the context sentences. In sentence 7, Sandra travelled to the bedroom. Then in sentence 10, Sandra went back to the office. Then in sentence 11, Sandra went to the kitchen. Most recently, in sentence 13, Sandra went to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,13,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra went back to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,13,2,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,13,3,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra went back to the hallway. Most recently, in sentence 8, Sandra travelled to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,13,4,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the office. Then in sentence 10, Daniel went back to the bedroom. Most recently, in sentence 11, Daniel went back to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,13,5,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the office. Then in sentence 10, Daniel went back to the bedroom. Most recently, in sentence 11, Daniel went back to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,14,1,"Tracking John's movements through the context sentences. In sentence 2, John went back to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,14,2,"Tracking John's movements through the context sentences. In sentence 2, John went back to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,14,3,"Tracking Daniel's movements through the context sentences. In sentence 4, Daniel went back to the hallway. Most recently, in sentence 5, Daniel went to the bathroom. Since the last recorded movement for Daniel places them at the bathroom, this is their current location.",bathroom
1,14,4,"Tracking Daniel's movements through the context sentences. In sentence 4, Daniel went back to the hallway. Then in sentence 5, Daniel went to the bathroom. Then in sentence 10, Daniel went to the kitchen. Most recently, in sentence 11, Daniel moved to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,14,5,"Tracking Daniel's movements through the context sentences. In sentence 4, Daniel went back to the hallway. Then in sentence 5, Daniel went to the bathroom. Then in sentence 10, Daniel went to the kitchen. Most recently, in sentence 11, Daniel moved to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,15,1,"Tracking Mary's movements through the context sentences. In sentence 2, Mary journeyed to the garden. Since the last recorded movement for Mary places them at the garden, this is their current location.",garden
1,15,2,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra journeyed to the bedroom. Most recently, in sentence 4, Sandra moved to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,15,3,"Tracking Mary's movements through the context sentences. In sentence 2, Mary journeyed to the garden. Then in sentence 5, Mary travelled to the office. Then in sentence 7, Mary travelled to the kitchen. Most recently, in sentence 8, Mary journeyed to the garden. Since the last recorded movement for Mary places them at the garden, this is their current location.",garden
1,15,4,"Tracking Mary's movements through the context sentences. In sentence 2, Mary journeyed to the garden. Then in sentence 5, Mary travelled to the office. Then in sentence 7, Mary travelled to the kitchen. Then in sentence 8, Mary journeyed to the garden. Most recently, in sentence 11, Mary went to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,15,5,"Tracking Mary's movements through the context sentences. In sentence 2, Mary journeyed to the garden. Then in sentence 5, Mary travelled to the office. Then in sentence 7, Mary travelled to the kitchen. Then in sentence 8, Mary journeyed to the garden. Then in sentence 11, Mary went to the bedroom. Most recently, in sentence 14, Mary went to the bathroom. Since the last recorded movement for Mary places them at the bathroom, this is their current location.",bathroom
1,16,1,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel went back to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,16,2,"Tracking John's movements through the context sentences. In sentence 1, John travelled to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,16,3,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel went back to the kitchen. Then in sentence 4, Daniel went to the garden. Then in sentence 7, Daniel journeyed to the office. Most recently, in sentence 8, Daniel moved to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,16,4,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel went back to the kitchen. Then in sentence 4, Daniel went to the garden. Then in sentence 7, Daniel journeyed to the office. Then in sentence 8, Daniel moved to the kitchen. Most recently, in sentence 10, Daniel went back to the hallway. Since the last recorded movement for Daniel places them at the hallway, this is their current location.",hallway
1,16,5,"Tracking Daniel's movements through the context sentences. In sentence 2, Daniel went back to the kitchen. Then in sentence 4, Daniel went to the garden. Then in sentence 7, Daniel journeyed to the office. Then in sentence 8, Daniel moved to the kitchen. Then in sentence 10, Daniel went back to the hallway. Most recently, in sentence 14, Daniel went back to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,17,1,"Tracking John's movements through the context sentences. In sentence 2, John travelled to the garden. Since the last recorded movement for John places them at the garden, this is their current location.",garden
1,17,2,"Tracking John's movements through the context sentences. In sentence 2, John travelled to the garden. Most recently, in sentence 4, John travelled to the bathroom. Since the last recorded movement for John places them at the bathroom, this is their current location.",bathroom
1,17,3,"Tracking Sandra's movements through the context sentences. In sentence 7, Sandra moved to the kitchen. Most recently, in sentence 8, Sandra went back to the bedroom. Since the last recorded movement for Sandra places them at the bedroom, this is their current location.",bedroom
1,17,4,"Tracking Mary's movements through the context sentences. In sentence 5, Mary went to the garden. Since the last recorded movement for Mary places them at the garden, this is their current location.",garden
1,17,5,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel went to the garden. Most recently, in sentence 14, Daniel travelled to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,18,1,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra travelled to the garden. Since the last recorded movement for Sandra places them at the garden, this is their current location.",garden
1,18,2,"Tracking Mary's movements through the context sentences. In sentence 4, Mary journeyed to the office. Most recently, in sentence 5, Mary went to the garden. Since the last recorded movement for Mary places them at the garden, this is their current location.",garden
1,18,3,"Tracking John's movements through the context sentences. In sentence 1, John travelled to the garden. Most recently, in sentence 7, John went to the hallway. Since the last recorded movement for John places them at the hallway, this is their current location.",hallway
1,18,4,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra travelled to the garden. Most recently, in sentence 11, Sandra went back to the kitchen. Since the last recorded movement for Sandra places them at the kitchen, this is their current location.",kitchen
1,18,5,"Tracking Daniel's movements through the context sentences. In sentence 14, Daniel went back to the kitchen. Since the last recorded movement for Daniel places them at the kitchen, this is their current location.",kitchen
1,19,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the kitchen. Most recently, in sentence 2, Sandra went back to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,19,2,"Tracking John's movements through the context sentences. In sentence 5, John journeyed to the bathroom. Since the last recorded movement for John places them at the bathroom, this is their current location.",bathroom
1,19,3,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the kitchen. Then in sentence 2, Sandra went back to the bathroom. Then in sentence 7, Sandra moved to the bedroom. Most recently, in sentence 8, Sandra travelled to the hallway. Since the last recorded movement for Sandra places them at the hallway, this is their current location.",hallway
1,19,4,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the kitchen. Then in sentence 2, Sandra went back to the bathroom. Then in sentence 7, Sandra moved to the bedroom. Then in sentence 8, Sandra travelled to the hallway. Then in sentence 10, Sandra travelled to the garden. Most recently, in sentence 11, Sandra travelled to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,19,5,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra moved to the kitchen. Then in sentence 2, Sandra went back to the bathroom. Then in sentence 7, Sandra moved to the bedroom. Then in sentence 8, Sandra travelled to the hallway. Then in sentence 10, Sandra travelled to the garden. Most recently, in sentence 11, Sandra travelled to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,20,1,"Tracking John's movements through the context sentences. In sentence 1, John travelled to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,20,2,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra moved to the kitchen. Since the last recorded movement for Sandra places them at the kitchen, this is their current location.",kitchen
1,20,3,"Tracking Mary's movements through the context sentences. In sentence 7, Mary journeyed to the bedroom. Most recently, in sentence 8, Mary journeyed to the kitchen. Since the last recorded movement for Mary places them at the kitchen, this is their current location.",kitchen
1,20,4,"Tracking Mary's movements through the context sentences. In sentence 7, Mary journeyed to the bedroom. Then in sentence 8, Mary journeyed to the kitchen. Most recently, in sentence 10, Mary travelled to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,20,5,"Tracking Mary's movements through the context sentences. In sentence 7, Mary journeyed to the bedroom. Then in sentence 8, Mary journeyed to the kitchen. Most recently, in sentence 10, Mary travelled to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,21,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary travelled to the garden. Most recently, in sentence 2, Mary moved to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,21,2,"Tracking Sandra's movements through the context sentences. In sentence 4, Sandra went to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,21,3,"Tracking Mary's movements through the context sentences. In sentence 1, Mary travelled to the garden. Then in sentence 2, Mary moved to the bedroom. Most recently, in sentence 7, Mary travelled to the office. Since the last recorded movement for Mary places them at the office, this is their current location.",office
1,21,4,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the bathroom. Then in sentence 8, Daniel moved to the hallway. Most recently, in sentence 11, Daniel went to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,21,5,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the bathroom. Then in sentence 8, Daniel moved to the hallway. Most recently, in sentence 11, Daniel went to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,22,1,"Tracking Mary's movements through the context sentences. In sentence 1, Mary journeyed to the office. Most recently, in sentence 2, Mary moved to the hallway. Since the last recorded movement for Mary places them at the hallway, this is their current location.",hallway
1,22,2,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the bedroom. Since the last recorded movement for Daniel places them at the bedroom, this is their current location.",bedroom
1,22,3,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the bedroom. Most recently, in sentence 7, Daniel travelled to the bathroom. Since the last recorded movement for Daniel places them at the bathroom, this is their current location.",bathroom
1,22,4,"Tracking Daniel's movements through the context sentences. In sentence 5, Daniel travelled to the bedroom. Then in sentence 7, Daniel travelled to the bathroom. Most recently, in sentence 10, Daniel moved to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,22,5,"Tracking John's movements through the context sentences. In sentence 4, John journeyed to the hallway. Then in sentence 8, John travelled to the kitchen. Most recently, in sentence 14, John travelled to the bedroom. Since the last recorded movement for John places them at the bedroom, this is their current location.",bedroom
1,23,1,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel went to the office. Most recently, in sentence 2, Daniel travelled to the bathroom. Since the last recorded movement for Daniel places them at the bathroom, this is their current location.",bathroom
1,23,2,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel went to the office. Most recently, in sentence 2, Daniel travelled to the bathroom. Since the last recorded movement for Daniel places them at the bathroom, this is their current location.",bathroom
1,23,3,"Tracking John's movements through the context sentences. In sentence 4, John travelled to the kitchen. Then in sentence 5, John went to the bedroom. Then in sentence 7, John went to the office. Most recently, in sentence 8, John journeyed to the kitchen. Since the last recorded movement for John places them at the kitchen, this is their current location.",kitchen
1,23,4,"Tracking John's movements through the context sentences. In sentence 4, John travelled to the kitchen. Then in sentence 5, John went to the bedroom. Then in sentence 7, John went to the office. Then in sentence 8, John journeyed to the kitchen. Most recently, in sentence 11, John went back to the hallway. Since the last recorded movement for John places them at the hallway, this is their current location.",hallway
1,23,5,"Tracking Mary's movements through the context sentences. In sentence 10, Mary moved to the kitchen. Since the last recorded movement for Mary places them at the kitchen, this is their current location.",kitchen
1,24,1,"Tracking Sandra's movements through the context sentences. In sentence 1, Sandra went back to the garden. Since the last recorded movement for Sandra places them at the garden, this is their current location.",garden
1,24,2,"Tracking John's movements through the context sentences. In sentence 2, John moved to the office. Since the last recorded movement for John places them at the office, this is their current location.",office
1,24,3,"Tracking Mary's movements through the context sentences. In sentence 5, Mary went back to the kitchen. Since the last recorded movement for Mary places them at the kitchen, this is their current location.",kitchen
1,24,4,"Tracking Daniel's movements through the context sentences. In sentence 8, Daniel travelled to the bathroom. Since the last recorded movement for Daniel places them at the bathroom, this is their current location.",bathroom
1,24,5,"Tracking Daniel's movements through the context sentences. In sentence 8, Daniel travelled to the bathroom. Then in sentence 13, Daniel journeyed to the garden. Most recently, in sentence 14, Daniel went back to the office. Since the last recorded movement for Daniel places them at the office, this is their current location.",office
1,25,1,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel journeyed to the office. Most recently, in sentence 2, Daniel travelled to the bedroom. Since the last recorded movement for Daniel places them at the bedroom, this is their current location.",bedroom
1,25,2,"Tracking Mary's movements through the context sentences. In sentence 5, Mary journeyed to the bathroom. Since the last recorded movement for Mary places them at the bathroom, this is their current location.",bathroom
1,25,3,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel journeyed to the office. Most recently, in sentence 2, Daniel travelled to the bedroom. Since the last recorded movement for Daniel places them at the bedroom, this is their current location.",bedroom
1,25,4,"Tracking Daniel's movements through the context sentences. In sentence 1, Daniel journeyed to the office. Then in sentence 2, Daniel travelled to the bedroom. Most recently, in sentence 10, Daniel journeyed to the hallway. Since the last recorded movement for Daniel places them at the hallway, this is their current location.",hallway
1,25,5,"Tracking Mary's movements through the context sentences. In sentence 5, Mary journeyed to the bathroom. Then in sentence 8, Mary journeyed to the kitchen. Most recently, in sentence 13, Mary travelled to the bedroom. Since the last recorded movement for Mary places them at the bedroom, this is their current location.",bedroom
1,26,1,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra travelled to the office. Since the last recorded movement for Sandra places them at the office, this is their current location.",office
1,26,2,"Tracking John's movements through the context sentences. In sentence 1, John moved to the kitchen. Most recently, in sentence 5, John journeyed to the garden. Since the last recorded movement for John places them at the garden, this is their current location.",garden
1,26,3,"Tracking Daniel's movements through the context sentences. In sentence 4, Daniel went to the garden. Since the last recorded movement for Daniel places them at the garden, this is their current location.",garden
1,26,4,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra travelled to the office. Then in sentence 7, Sandra moved to the kitchen. Most recently, in sentence 11, Sandra travelled to the garden. Since the last recorded movement for Sandra places them at the garden, this is their current location.",garden
1,26,5,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra travelled to the office. Then in sentence 7, Sandra moved to the kitchen. Then in sentence 11, Sandra travelled to the garden. Most recently, in sentence 13, Sandra moved to the bathroom. Since the last recorded movement for Sandra places them at the bathroom, this is their current location.",bathroom
1,27,1,"Tracking Sandra's movements through the context sentences. In sentence 2, Sandra journeyed to the garden. Since the last recorded movement for Sandra places them at the garden, this is their current location.",garden
1,27,2,"Tracking Mary's movements through the context sentences. In sentence 1, Mary journeyed to the hallway. Since the last recorded movement for Mary places them at the hallway, this is their current location.",hallway
