id	task_id	sample_no	task	true_result	model_result	accuracy	soft_accuracy
19	12	4	"10. Daniel and Sandra moved to the kitchen.
11. John and Sandra travelled to the garden.
Where is John?"	garden	garden		
20	12	4	"13. John and Mary moved to the kitchen.
14. Sandra and Daniel went to the office.
Where is Daniel?"	office	office		
21	12	5	"1. Sandra and Daniel journeyed to the bedroom.
2. Mary and John moved to the bathroom.
Where is John?"	bathroom	bathroom		
22	12	5	"4. John and Sandra moved to the office.
5. Daniel and Sandra travelled to the hallway.
Where is John?"	office	office		
23	12	5	"7. Sandra and Mary went to the bedroom.
8. Sandra and Mary went back to the office.
Where is Mary?"	office	office		
24	12	5	"10. Mary and Sandra journeyed to the kitchen.
11. Mary and Daniel went to the bedroom.
Where is Daniel?"	bedroom	bedroom		
25	12	5	"13. Mary and Sandra moved to the garden.
14. Sandra and Daniel journeyed to the hallway.
Where is Sandra?"	hallway	garden		
26	13	1	"1. John and Mary went back to the kitchen.
2. After that they journeyed to the bathroom.
Where is John?"	bathroom	kitchen	0.28	0.28
27	13	1	"4. John and Mary moved to the bedroom.
5. Afterwards they moved to the office.
Where is Mary?"	office	bedroom		
28	13	1	"7. Daniel and Mary journeyed to the hallway.
8. After that they travelled to the kitchen.
Where is Daniel?"	kitchen	not mentioned		
29	13	1	"10. Daniel and John journeyed to the hallway.
11. Following that they travelled to the kitchen.
Where is Daniel?"	kitchen	hallway		
30	13	1	"13. Daniel and Mary moved to the bathroom.
14. After that they travelled to the office.
Where is Daniel?"	office	bathroom		
31	13	2	"1. Sandra and Mary went to the bedroom.
2. Then they travelled to the hallway.
Where is Sandra?"	hallway	bedroom		
32	13	2	"4. Mary and Daniel went to the bathroom.
5. Following that they went to the office.
Where is Mary?"	office	bathroom		
33	13	2	"7. John and Sandra journeyed to the kitchen.
8. After that they moved to the bedroom.
Where is Sandra?"	bedroom	kitchen		
34	13	2	"10. John and Mary journeyed to the bathroom.
11. Following that they travelled to the kitchen.
Where is John?"	kitchen	bathroom		
35	13	2	"13. Sandra and Mary journeyed to the bathroom.
14. Following that they travelled to the bedroom.
Where is Sandra?"	bedroom	bathroom		
36	13	3	"1. Mary and John moved to the office.
2. Following that they travelled to the hallway.
Where is Mary?"	hallway	office		
37	13	3	"4. John and Sandra went back to the garden.
5. Then they moved to the kitchen.
Where is John?"	kitchen	garden		
38	13	3	"7. Sandra and Mary went back to the bathroom.
8. Following that they went back to the kitchen.
Where is Sandra?"	kitchen	bathroom		
39	13	3	"10. Sandra and John journeyed to the office.
11. After that they journeyed to the bedroom.
Where is Sandra?"	bedroom	office		
40	13	3	"13. Sandra and John went to the hallway.
14. Then they journeyed to the kitchen.
Where is Sandra?"	kitchen	hallway		
41	13	4	"1. Sandra and Mary travelled to the garden.
2. Then they went back to the office.
Where is Mary?"	office	office		
42	13	4	"4. John and Sandra went to the bathroom.
5. Then they went back to the office.
Where is John?"	office	office		
43	13	4	"7. Sandra and Mary journeyed to the bathroom.
8. Following that they moved to the hallway.
Where is Mary?"	hallway	hallway		
44	13	4	"10. John and Sandra journeyed to the bathroom.
11. After that they journeyed to the office.
Where is John?"	office	office		
45	13	4	"13. Daniel and Sandra went back to the bedroom.
14. Following that they travelled to the garden.
Where is Sandra?"	garden	garden		
46	13	5	"1. Sandra and Mary went back to the bathroom.
2. Then they went back to the hallway.
Where is Mary?"	hallway	hallway		
47	13	5	"4. Mary and Sandra went to the office.
5. Then they went back to the bedroom.
Where is Mary?"	bedroom	bedroom		
48	13	5	"7. Daniel and John went back to the kitchen.
8. Afterwards they went back to the office.
Where is Sandra?"	bedroom	not mentioned		
49	13	5	"10. Sandra and John journeyed to the garden.
11. Afterwards they went back to the office.
Where is Sandra?"	office	garden		
50	13	5	"13. Sandra and Daniel travelled to the hallway.
14. Following that they journeyed to the bathroom.
Where is Sandra?"	bathroom	hallway		
51	9	1	"1. Sandra travelled to the garden.
2. John journeyed to the kitchen.
Is John in the bedroom?"	no	no	0.96	0.96
52	9	1	"4. Sandra journeyed to the bathroom.
5. John travelled to the office.
Is John in the office?"	yes	yes		
53	9	1	"7. John moved to the hallway.
8. John is in the office.
Is John in the office?"	yes	yes		
54	9	1	"10. Mary moved to the hallway.
11. Mary went to the bedroom.
Is Mary in the bedroom?"	yes	yes		
55	9	1	"13. Daniel is in the bathroom.
14. Daniel travelled to the hallway.
Is Mary in the office?"	no	no		
56	9	2	"1. Mary is not in the garden.
2. Sandra is in the hallway.
Is Mary in the garden?"	no	no		
57	9	2	"4. Daniel is not in the bathroom.
5. Mary travelled to the hallway.
Is Sandra in the hallway?"	yes	yes		
58	9	2	"7. Sandra is no longer in the hallway.
8. Daniel is in the hallway.
Is Daniel in the kitchen?"	no	no		
59	9	2	"10. John went back to the bedroom.
11. Mary went to the garden.
Is Mary in the garden?"	yes	yes		
60	9	2	"13. Sandra travelled to the kitchen.
14. Daniel is in the garden.
Is Sandra in the bedroom?"	no	no		
61	9	3	"1. Sandra travelled to the bedroom.
2. Mary is in the bathroom.
Is Sandra in the bathroom?"	no	no		
62	9	3	"4. Sandra travelled to the kitchen.
5. Sandra is in the hallway.
Is Sandra in the hallway?"	yes	no		
63	9	3	"7. John is no longer in the office.
8. Sandra is no longer in the hallway.
Is John in the office?"	no	no		
64	9	3	"10. John is not in the hallway.
11. Daniel is no longer in the bathroom.
Is Sandra in the hallway?"	no	no		
65	9	3	"13. Mary is no longer in the bathroom.
14. Daniel travelled to the bedroom.
Is Sandra in the hallway?"	no	no		
66	9	4	"1. John is in the kitchen.
2. Sandra went to the hallway.
Is John in the office?"	no	no		
67	9	4	"4. Sandra went to the bedroom.
5. Mary is no longer in the kitchen.
Is Sandra in the bedroom?"	yes	yes		
68	9	4	"7. Mary is in the kitchen.
8. Mary is in the bathroom.
Is Mary in the bathroom?"	yes	yes		
69	9	4	"10. Daniel is not in the garden.
11. Mary is in the kitchen.
Is Mary in the kitchen?"	yes	yes		
70	9	4	"13. Daniel went back to the bathroom.
14. Sandra is in the hallway.
Is Mary in the office?"	no	no		
71	9	5	"1. John went back to the bedroom.
2. John is in the garden.
Is John in the garden?"	yes	yes		
72	9	5	"4. John went back to the hallway.
5. Sandra went to the bathroom.
Is John in the hallway?"	yes	yes		
73	9	5	"7. Mary is not in the bathroom.
8. John journeyed to the bedroom.
Is John in the bedroom?"	yes	yes		
74	9	5	"10. Mary is in the office.
11. Sandra went back to the hallway.
Is Mary in the bedroom?"	no	no		
75	9	5	"13. Sandra moved to the bedroom.
14. Sandra went to the bathroom.
Is Sandra in the bathroom?"	yes	yes		
76	7	1	"1. Sandra went to the bedroom.
2. Mary went to the office.
3. Mary took the apple there.
4. Mary put down the apple.
How many objects is Mary carrying?"	none	0	0.0	0.0
77	7	1	"6. Mary went back to the bedroom.
7. Mary travelled to the bathroom.
How many objects is Mary carrying?"	none	0		
78	7	1	"9. John went to the hallway.
10. John got the football there.
How many objects is John carrying?"	one	1		
79	7	1	"12. Mary moved to the hallway.
13. John went to the office.
How many objects is John carrying?"	one	1		
80	7	1	"15. Mary went back to the garden.
16. John grabbed the apple there.
How many objects is John carrying?"	two	1		
81	7	2	"1. John journeyed to the hallway.
2. Mary grabbed the milk there.
How many objects is Mary carrying?"	one	0		
82	7	2	"4. John got the football there.
5. Sandra journeyed to the hallway.
How many objects is Mary carrying?"	one	0		
83	7	2	"7. Mary dropped the milk.
8. Daniel journeyed to the hallway.
How many objects is John carrying?"	one	0		
84	7	2	"10. John journeyed to the bedroom.
11. Daniel took the milk there.
How many objects is Mary carrying?"	none	0		
85	7	2	"13. Daniel handed the milk to Mary.
14. Sandra journeyed to the garden.
How many objects is Daniel carrying?"	none	0		
86	7	3	"1. Mary journeyed to the garden.
2. John journeyed to the bathroom.
3. Mary got the apple there.
4. Sandra grabbed the milk there.
How many objects is Mary carrying?"	one	apple		
87	7	3	"6. Sandra went to the office.
7. Daniel travelled to the bathroom.
How many objects is Mary carrying?"	one	the question is about mary, but the new sentences are about		
88	7	3	"9. Mary dropped the apple.
10. Daniel travelled to the bedroom.
How many objects is Mary carrying?"	none	0		
89	7	3	"12. Mary picked up the apple there.
13. John went back to the office.
How many objects is Mary carrying?"	one	1		
90	7	3	"15. Daniel went back to the hallway.
16. Sandra handed the milk to John.
How many objects is Sandra carrying?"	none	0		
91	7	4	"1. Sandra journeyed to the kitchen.
2. Sandra took the football there.
How many objects is Sandra carrying?"	one	1		
92	7	4	"4. Sandra journeyed to the office.
5. Sandra gave the football to John.
How many objects is Sandra carrying?"	none	0		
93	7	4	"7. John went back to the garden.
8. John passed the football to Mary.
How many objects is John carrying?"	none	1		
94	7	4	"10. Mary passed the football to John.
11. John passed the football to Mary.
How many objects is Sandra carrying?"	none	0		
95	7	4	"13. John went to the office.
14. Daniel journeyed to the kitchen.
How many objects is John carrying?"	none	0		
96	7	5	"1. John grabbed the apple there.
2. John passed the apple to Mary.
How many objects is John carrying?"	none	1		
97	7	5	"4. Mary discarded the apple.
5. Mary grabbed the apple there.
How many objects is Mary carrying?"	one	1		
98	7	5	"7. Mary went back to the kitchen.
8. John went to the hallway.
How many objects is John carrying?"	none	0		
99	7	5	"10. John moved to the bedroom.
11. Daniel went back to the bathroom.
How many objects is Mary carrying?"	one	0		
100	7	5	"13. Sandra moved to the kitchen.
14. Mary passed the apple to Sandra.
How many objects is Mary carrying?"	none	0		
101	15	1	"1. Wolves are afraid of cats.
2. Mice are afraid of sheep.
3. Emily is a mouse.
4. Cats are afraid of wolves.
5. Gertrude is a cat.
6. Sheep are afraid of mice.
7. Winona is a mouse.
8. Jessica is a cat.
What is jessica afraid of?"	wolf	wolves.	0.0	0.25
102	15	1	What is winona afraid of?	sheep	sheep.		
103	15	1	What is gertrude afraid of?	wolf	wolves.		
104	15	1	What is winona afraid of?	sheep	sheep.		
105	15	2	"1. Wolves are afraid of mice.
2. Cats are afraid of sheep.
3. Sheep are afraid of cats.
4. Jessica is a sheep.
5. Mice are afraid of wolves.
6. Winona is a sheep.
7. Emily is a sheep.
8. Gertrude is a mouse.
What is winona afraid of?"	cat	sheep.		
106	15	2	What is winona afraid of?	cat	sheep.		
107	15	2	What is jessica afraid of?	cat	cats.		
108	15	2	What is jessica afraid of?	cat	cats.		
109	15	3	"1. Wolves are afraid of sheep.
2. Winona is a wolf.
3. Cats are afraid of sheep.
4. Jessica is a wolf.
5. Sheep are afraid of cats.
6. Emily is a sheep.
7. Mice are afraid of wolves.
8. Gertrude is a mouse.
What is emily afraid of?"	cat	cats		
110	15	3	What is jessica afraid of?	sheep	nothing, since jessica is a wolf and wolves are not afraid		
111	15	3	What is gertrude afraid of?	wolf	wolves		
112	15	3	What is gertrude afraid of?	wolf	wolves		
113	15	4	"1. Cats are afraid of wolves.
2. Emily is a cat.
3. Wolves are afraid of mice.
4. Sheep are afraid of wolves.
5. Mice are afraid of wolves.
6. Gertrude is a sheep.
7. Winona is a sheep.
8. Jessica is a mouse.
What is gertrude afraid of?"	wolf	wolves.		
114	15	4	What is gertrude afraid of?	wolf	sheep are afraid of wolves.		
115	15	4	What is emily afraid of?	wolf	cats are afraid of wolves.		
116	15	4	What is winona afraid of?	wolf	sheep are afraid of wolves.		
117	15	5	"1. Cats are afraid of mice.
2. Jessica is a cat.
3. Sheep are afraid of mice.
4. Mice are afraid of sheep.
5. Wolves are afraid of mice.
6. Emily is a cat.
7. Winona is a sheep.
8. Gertrude is a wolf.
What is emily afraid of?"	mouse	mice		
118	15	5	What is gertrude afraid of?	mouse	mice		
119	15	5	What is emily afraid of?	mouse	mice		
120	15	5	What is jessica afraid of?	mouse	mice		
121	2	1	"1. John travelled to the office.
2. Daniel travelled to the office.
3. Mary grabbed the football there.
4. Daniel went back to the hallway.
5. Mary left the football.
6. Sandra grabbed the apple there.
7. Mary went to the bedroom.
8. Sandra journeyed to the bedroom.
Where is the apple?"	bedroom	there	0.08	0.08
122	2	1	"10. Daniel journeyed to the bathroom.
11. Mary went back to the office.
Where is the apple?"	bedroom	there		
123	2	1	"13. Sandra took the milk there.
14. Sandra dropped the milk.
Where is the milk?"	bedroom	there		
124	2	1	"16. Mary went back to the bathroom.
17. Daniel took the football there.
Where is the milk?"	bedroom	there		
125	2	1	"19. Sandra picked up the milk there.
20. Mary went back to the bedroom.
21. John moved to the bedroom.
22. Daniel discarded the football there.
Where is the football?"	bathroom	bedroom		
126	2	2	"1. Sandra moved to the hallway.
2. Daniel journeyed to the garden.
3. Daniel went back to the office.
4. Sandra got the apple there.
5. Sandra discarded the apple.
6. Daniel travelled to the kitchen.
Where is the apple?"	hallway	discarded		
127	2	2	"8. John journeyed to the hallway.
9. Mary went back to the garden.
Where is the apple?"	hallway	there is no mention of the apple in sentences 8 and		
128	2	2	"11. Sandra grabbed the apple there.
12. Sandra dropped the apple there.
Where is the apple?"	hallway	there		
129	2	2	"14. Daniel grabbed the football there.
15. Daniel discarded the football.
Where is the apple?"	hallway	there		
130	2	2	"17. Mary went back to the office.
18. Daniel took the football there.
Where is the apple?"	hallway	there		
131	2	3	"1. Sandra grabbed the milk there.
2. Sandra moved to the garden.
Where is the milk?"	garden	there		
132	2	3	"4. Sandra grabbed the football there.
5. Sandra dropped the milk.
Where is the milk?"	garden	not there		
133	2	3	"7. Sandra discarded the football.
8. Sandra went to the hallway.
Where is the milk?"	garden	not mentioned		
134	2	3	"10. John went to the office.
11. Mary travelled to the office.
Where is the milk?"	garden	not mentioned		
135	2	3	"13. Sandra went to the bedroom.
14. Daniel went to the bathroom.
15. John travelled to the garden.
16. Daniel got the apple there.
17. John picked up the milk there.
18. John dropped the milk.
Where is the milk?"	garden	there		
136	2	4	"1. Mary went back to the bathroom.
2. John travelled to the office.
3. Mary moved to the bedroom.
4. Daniel travelled to the bathroom.
5. Daniel went to the hallway.
6. Mary got the milk there.
7. John went to the garden.
8. John travelled to the bedroom.
9. Mary left the milk.
10. John went back to the garden.
Where is the milk?"	bedroom	there is no milk in the garden.		
137	2	4	"12. Daniel travelled to the bathroom.
13. Sandra grabbed the milk there.
14. Sandra left the milk.
15. John travelled to the kitchen.
16. Daniel got the apple there.
17. Mary got the milk there.
18. Mary went to the office.
19. Daniel moved to the bedroom.
Where is the apple?"	bedroom	kitchen		
138	2	4	"21. John went to the bathroom.
22. Daniel dropped the apple.
Where is the apple?"	bedroom	there is no apple in the bathroom.		
139	2	4	"24. Daniel picked up the apple there.
25. Mary went back to the garden.
26. Daniel moved to the kitchen.
27. Sandra journeyed to the bathroom.
Where is the apple?"	kitchen	kitchen		
140	2	4	"29. Mary got the football there.
30. Daniel dropped the apple.
Where is the apple?"	kitchen	kitchen		
141	2	5	"1. Daniel went to the bathroom.
2. Mary picked up the football there.
3. Mary travelled to the hallway.
4. Sandra moved to the garden.
Where is the football?"	hallway	there		
142	2	5	"6. Daniel journeyed to the kitchen.
7. Mary travelled to the bedroom.
Where is the football?"	bedroom	there		
143	2	5	"9. Mary got the apple there.
10. John went back to the bathroom.
11. Daniel went back to the office.
12. John moved to the hallway.
13. John journeyed to the bathroom.
14. Sandra moved to the bathroom.
15. Sandra moved to the kitchen.
16. John travelled to the kitchen.
17. Mary left the apple.
18. Mary travelled to the garden.
Where is the apple?"	bedroom	there		
144	2	5	"20. Sandra travelled to the bedroom.
21. Daniel journeyed to the bedroom.
Where is the apple?"	bedroom	there		
145	2	5	"23. Mary went back to the kitchen.
24. Sandra picked up the apple there.
25. Mary discarded the football.
26. John took the football there.
27. John discarded the football there.
28. John went to the office.
Where is the football?"	kitchen	there		
146	19	1	"1. The bedroom is east of the kitchen.
2. The bathroom is south of the hallway.
3. The office is west of the kitchen.
4. The hallway is south of the garden.
5. The kitchen is south of the bathroom.
How do you go from the hallway to the kitchen?"	south, south	you go south.	0.0	0.0
147	19	2	"1. The office is north of the garden.
2. The kitchen is north of the hallway.
3. The garden is north of the kitchen.
4. The bathroom is east of the kitchen.
5. The bedroom is west of the kitchen.
How do you go from the bedroom to the garden?"	east, north	you go from the bedroom to the garden by going east,		
148	19	3	"1. The bedroom is west of the bathroom.
2. The kitchen is east of the office.
3. The hallway is west of the bedroom.
4. The garden is east of the kitchen.
5. The kitchen is north of the bedroom.
How do you go from the bedroom to the office?"	north, west	you go from the bedroom to the office by going east.		
149	19	4	"1. The office is east of the garden.
2. The hallway is south of the bathroom.
3. The hallway is east of the kitchen.
4. The bedroom is south of the hallway.
5. The bedroom is west of the garden.
How do you go from the hallway to the garden?"	south, east	east.		
150	19	5	"1. The hallway is west of the bedroom.
2. The garden is north of the bedroom.
3. The kitchen is north of the office.
4. The bathroom is north of the hallway.
5. The hallway is east of the kitchen.
How do you go from the bedroom to the kitchen?"	west, west	from the bedroom, you would go north to the garden,		
151	4	1	"1. The kitchen is west of the garden.
2. The hallway is west of the kitchen.
What is the garden east of?"	kitchen	kitchen	0.4	0.4
152	4	2	"1. The bathroom is south of the bedroom.
2. The kitchen is north of the bedroom.
What is the bedroom south of?"	kitchen	the bathroom.		
153	4	3	"1. The bedroom is south of the kitchen.
2. The kitchen is south of the hallway.
What is south of the kitchen?"	bedroom	bedroom		
154	4	4	"1. The hallway is west of the bedroom.
2. The hallway is east of the garden.
What is the bedroom east of?"	hallway	garden		
155	4	5	"1. The kitchen is south of the bedroom.
2. The garden is north of the bedroom.
What is the bedroom north of?"	kitchen	garden		
156	10	1	"1. Mary travelled to the kitchen.
2. Fred is in the school.
Is Mary in the school?"	no	no	0.68	0.68
157	10	1	"4. Fred went back to the office.
5. Julie is either in the park or the office.
Is Mary in the cinema?"	no	no		
158	10	1	"7. Fred is either in the school or the bedroom.
8. Julie journeyed to the bedroom.
Is Fred in the school?"	maybe	yes		
159	10	1	"10. Fred went to the kitchen.
11. Fred travelled to the cinema.
Is Fred in the cinema?"	yes	yes		
160	10	1	"13. Bill is in the cinema.
14. Bill travelled to the bedroom.
Is Bill in the bedroom?"	yes	yes		
161	10	2	"1. Julie went to the kitchen.
2. Julie moved to the school.
Is Julie in the school?"	yes	yes		
162	10	2	"4. Julie is either in the office or the kitchen.
5. Julie went to the park.
Is Julie in the kitchen?"	no	no		
163	10	2	"7. Mary is in the office.
8. Julie travelled to the kitchen.
Is Julie in the kitchen?"	yes	yes		
164	10	2	"10. Julie is either in the cinema or the bedroom.
11. Bill is either in the office or the office.
Is Bill in the bedroom?"	no	no		
165	10	2	"13. Fred is either in the school or the school.
14. Bill travelled to the kitchen.
Is Julie in the bedroom?"	maybe	no		
166	10	3	"1. Bill is in the cinema.
2. Fred is either in the cinema or the school.
Is Fred in the cinema?"	maybe	yes		
167	10	3	"4. Julie travelled to the school.
5. Bill went back to the park.
Is Bill in the park?"	yes	yes		
168	10	3	"7. Fred moved to the kitchen.
8. Mary moved to the school.
Is Fred in the bedroom?"	no	no		
169	10	3	"10. Julie is either in the park or the park.
11. Fred is either in the park or the office.
Is Mary in the bedroom?"	no	no		
170	10	3	"13. Julie is in the school.
14. Mary went to the bedroom.
Is Julie in the kitchen?"	no	no		
171	10	4	"1. Mary moved to the office.
2. Mary is either in the kitchen or the cinema.
Is Mary in the kitchen?"	maybe	no		
172	10	4	"4. Fred journeyed to the bedroom.
5. Fred is either in the kitchen or the park.
Is Fred in the park?"	maybe	yes		
173	10	4	"7. Fred is either in the office or the cinema.
8. Mary is in the office.
Is Mary in the school?"	no	no		
174	10	4	"10. Mary is in the bedroom.
11. Fred went to the kitchen.
Is Mary in the bedroom?"	yes	yes		
175	10	4	"13. Fred is in the school.
14. Mary moved to the park.
Is Mary in the park?"	yes	yes		
176	10	5	"1. Fred went back to the school.
2. Bill is in the bedroom.
Is Fred in the school?"	yes	school		
177	10	5	"4. Bill is either in the school or the park.
5. Julie is either in the kitchen or the school.
Is Bill in the park?"	maybe	no		
178	10	5	"7. Bill is in the bedroom.
8. Fred went back to the bedroom.
Is Bill in the kitchen?"	no	no		
179	10	5	"10. Bill moved to the park.
11. Julie is in the office.
Is Julie in the office?"	yes	yes		
180	10	5	"13. Fred is either in the office or the bedroom.
14. Fred is in the park.
Is Bill in the park?"	yes	no		
181	16	1	"1. Julius is a lion.
2. Lily is a rhino.
3. Bernhard is a swan.
4. Lily is white.
5. Bernhard is green.
6. Greg is a rhino.
7. Greg is gray.
8. Julius is white.
9. Brian is a lion.
What color is Brian?"	white	the answer is: white	0.4	0.6
182	16	2	"1. Lily is a frog.
2. Bernhard is a lion.
3. Brian is a frog.
4. Bernhard is yellow.
5. Julius is a lion.
6. Julius is white.
7. Greg is a swan.
8. Greg is gray.
9. Brian is white.
What color is Lily?"	white	the answer is: not mentioned.		
183	16	3	"1. Brian is a rhino.
2. Lily is a frog.
3. Greg is a lion.
4. Lily is gray.
5. Julius is a swan.
6. Greg is yellow.
7. Brian is green.
8. Bernhard is a swan.
9. Bernhard is gray.
What color is Julius?"	gray	swan		
184	16	4	"1. Julius is a lion.
2. Julius is white.
3. Greg is a frog.
4. Bernhard is a frog.
5. Bernhard is green.
6. Brian is a swan.
7. Brian is white.
8. Greg is green.
9. Lily is a swan.
What color is Lily?"	white	white		
185	16	5	"1. Greg is a rhino.
2. Bernhard is a swan.
3. Bernhard is yellow.
4. Greg is white.
5. Brian is a swan.
6. Brian is yellow.
7. Lily is a frog.
8. Julius is a rhino.
9. Lily is green.
What color is Julius?"	white	white		
186	14	1	"1. Julie went to the park this morning.
2. Julie moved to the kitchen yesterday.
Where was Julie before the park?"	kitchen	kitchen	0.52	0.52
187	14	1	"4. Julie moved to the bedroom this afternoon.
5. Mary journeyed to the school yesterday.
Where was Julie before the bedroom?"	park	kitchen		
188	14	1	"7. This morning Bill moved to the park.
8. Yesterday Bill travelled to the kitchen.
Where was Julie before the park?"	kitchen	kitchen		
189	14	1	"10. This morning Mary moved to the office.
11. This evening Julie journeyed to the kitchen.
Where was Julie before the kitchen?"	bedroom	office		
190	14	1	"13. This afternoon Mary moved to the cinema.
14. This afternoon Bill travelled to the kitchen.
Where was Bill before the kitchen?"	park	cinema		
191	14	2	"1. Mary travelled to the cinema yesterday.
2. Yesterday Julie travelled to the cinema.
3. This morning Julie travelled to the bedroom.
4. Yesterday Bill moved to the park.
Where was Julie before the bedroom?"	cinema	cinema		
192	14	2	"6. Mary moved to the school this morning.
7. Julie moved to the kitchen this afternoon.
Where was Julie before the kitchen?"	bedroom	bedroom		
193	14	2	"9. Julie went back to the park this evening.
10. This morning Bill went back to the office.
Where was Mary before the school?"	cinema	not mentioned		
194	14	2	"12. Yesterday Fred journeyed to the cinema.
13. Mary journeyed to the office this afternoon.
Where was Bill before the office?"	park	park		
195	14	2	"15. Fred went back to the park this morning.
16. Mary went back to the school this evening.
Where was Julie before the park?"	kitchen	kitchen		
196	14	3	"1. Fred moved to the park yesterday.
2. This morning Julie journeyed to the bedroom.
3. Julie went back to the park this afternoon.
4. Julie moved to the park yesterday.
Where was Julie before the park?"	bedroom	bedroom		
197	14	3	"6. Bill journeyed to the park this morning.
7. Bill went to the bedroom yesterday.
Where was Bill before the park?"	bedroom	bedroom		
198	14	3	"9. Mary journeyed to the school yesterday.
10. Julie journeyed to the school this evening.
Where was Julie before the park?"	bedroom	note: there is no mention of julie being at the park		
199	14	3	"12. Bill went to the bedroom this afternoon.
13. This morning Fred moved to the kitchen.
Where was Bill before the bedroom?"	park	bedroom		
200	14	3	"15. This morning Mary travelled to the kitchen.
16. Fred moved to the bedroom this afternoon.
Where was Fred before the bedroom?"	kitchen	kitchen		
201	14	4	"1. Yesterday Mary journeyed to the kitchen.
2. This morning Fred went back to the cinema.
3. Yesterday Julie journeyed to the cinema.
4. Fred journeyed to the bedroom yesterday.
Where was Fred before the cinema?"	bedroom	cinema		
202	14	4	"6. Julie went back to the bedroom this morning.
7. Fred journeyed to the school this afternoon.
Where was Julie before the bedroom?"	cinema	cinema		
203	14	4	"9. Mary travelled to the bedroom this morning.
10. This afternoon Julie went back to the park.
Where was Fred before the school?"	cinema	bedroom		
204	14	4	"12. Mary went back to the kitchen this afternoon.
13. This evening Julie moved to the kitchen.
Where was Mary before the kitchen?"	bedroom	bedroom		
205	14	4	"15. Yesterday Bill went to the cinema.
16. Mary went back to the cinema this evening.
Where was Julie before the kitchen?"	park	bedroom		
206	14	5	"1. Yesterday Julie went to the bedroom.
2. Yesterday Bill travelled to the kitchen.
3. This morning Julie went back to the kitchen.
4. Yesterday Mary went to the park.
5. Fred went back to the bedroom yesterday.
6. Fred went to the cinema this morning.
Where was Fred before the cinema?"	bedroom	bedroom		
207	14	5	"8. Fred went to the office this evening.
9. Fred travelled to the bedroom this afternoon.
Where was Fred before the bedroom?"	cinema	office		
208	14	5	"11. This afternoon Julie moved to the bedroom.
12. Mary journeyed to the school this morning.
Where was Fred before the bedroom?"	cinema	office		
209	14	5	"14. This evening Mary journeyed to the bedroom.
15. This afternoon Mary went to the kitchen.
Where was Mary before the bedroom?"	kitchen	kitchen		
210	14	5	"17. Bill moved to the bedroom this afternoon.
18. Bill moved to the cinema this morning.
Where was Bill before the cinema?"	kitchen	bedroom		
211	20	1	"1. Antoine is tired.
Where will antoine go?"	bedroom	bed	0.25	0.69
212	20	1	"3. Yann is tired.
Where will yann go?"	bedroom	bed		
213	20	1	"5. Antoine went to the bedroom.
Why did antoine go to the bedroom?"	tired	he is tired		
214	20	1	"7. Sumit is bored.
Where will sumit go?"	garden	outside		
215	20	1	"9. Jason is thirsty.
Where will jason go?"	kitchen	kitchen		
216	20	1	"11. Yann moved to the bedroom.
Why did yann go to the bedroom?"	tired	he is tired		
