task_id	sample_no	task	true_result	model_result	accuracy	in_accuracy
1	1	"John travelled to the hallway.
Mary journeyed to the bathroom.
1	5	" 
Mary travelled to the garden.
Daniel moved to the bedroom.
Where is Sandra?"	hallway	according to the context sentences, sandra moved to the office.
1	5	" 
John went to the garden.
Sandra travelled to the office.
Where is Daniel?"	bedroom	according to the context sentences, daniel is in the bedroom.
2	1	"Mary got the milk there.
John moved to the bedroom.
Sandra went back to the kitchen.
Mary travelled to the hallway.
Where is the milk?"	hallway	"according to the context sentences, mary got the milk ""there"	0.0	0.0
2	1	" 
John got the football there.
John went to the hallway.
Where is the football?"	hallway	"according to the context sentences, john got the football ""there"
2	1	" 
John put down the football.
Mary went to the garden.
Where is the football?"	hallway	according to the context sentences, john put down the football,
2	1	" 
John went to the kitchen.
Sandra travelled to the hallway.
Where is the football?"	hallway	according to the context sentences, john put down the football,
2	1	" 
Daniel went to the hallway.
Mary discarded the milk.
Where is the milk?"	garden	according to the context sentences, mary discarded the milk, so
2	2	"Mary journeyed to the bathroom.
Sandra went to the garden.
Daniel went back to the garden.
Daniel went to the office.
Sandra grabbed the milk there.
Sandra put down the milk there.
Where is the milk?"	garden	based on the context sentences, sandra put down the milk in
2	2	" 
Daniel went to the hallway.
Sandra got the milk there.
Daniel went to the garden.
Daniel journeyed to the kitchen.
Daniel journeyed to the bedroom.
Mary journeyed to the garden.
Daniel took the football there.
Mary moved to the office.
Sandra travelled to the bedroom.
Daniel dropped the football.
Where is the football?"	bedroom	based on the context sentences, daniel dropped the football in
2	2	" 
Sandra left the milk there.
Daniel grabbed the football there.
Where is the milk?"	bedroom	based on the context sentences, sandra left the milk in
2	2	" 
Sandra grabbed the milk there.
Daniel went to the kitchen.
Where is the football?"	kitchen	based on the context sentences, daniel grabbed the football there,
2	2	" 
John travelled to the kitchen.
Mary moved to the hallway.
Where is the football?"	kitchen	there is no information about the football in the sentences about john
2	3	"Mary picked up the apple there.
Mary dropped the apple.
Daniel went back to the garden.
Mary journeyed to the office.
John got the football there.
Mary went back to the kitchen.
Daniel picked up the milk there.
John travelled to the bedroom.
Where is the football?"	bedroom	"according to the context sentences, the football is ""there"","
2	3	" 
John moved to the hallway.
John discarded the football.
Where is the football?"	hallway	according to the context sentences, the football is not there anymore
2	3	" 
Daniel dropped the milk.
John got the football there.
Where is the milk?"	garden	according to the context sentences, the milk is not specified to
2	3	" 
Mary journeyed to the garden.
Daniel travelled to the bathroom.
Where is the milk?"	garden	according to the context sentences, the milk is still not specified
2	3	" 
Sandra journeyed to the bathroom.
Mary went to the bathroom.
Mary took the apple there.
Mary dropped the apple.
Where is the apple?"	bathroom	"according to the context sentences, the apple is ""there"","
2	4	"Daniel journeyed to the office.
John took the football there.
John discarded the football.
John travelled to the garden.
Daniel travelled to the garden.
Sandra went to the garden.
Daniel travelled to the kitchen.
Daniel moved to the office.
Mary grabbed the milk there.
Daniel journeyed to the bedroom.
John travelled to the office.
Daniel travelled to the bathroom.
John travelled to the kitchen.
Mary travelled to the garden.
Mary dropped the milk.
John went back to the garden.
Where is the milk?"	garden	according to the context sentences, mary grabbed the milk in the
2	4	" 
Sandra got the milk there.
Sandra put down the milk.
Where is the milk?"	garden	according to the context sentences, sandra put down the milk,
2	4	" 
Mary went back to the bathroom.
Mary travelled to the bedroom.
Where is the milk?"	garden	according to the context sentences, mary put down the milk,
2	4	" 
John got the milk there.
Daniel went back to the office.
Daniel moved to the kitchen.
Daniel grabbed the apple there.
John left the milk.
Daniel discarded the apple.
Where is the apple?"	kitchen	according to the context sentences, daniel grabbed the apple in the
2	4	" 
John picked up the milk there.
Daniel went to the hallway.
Where is the apple?"	kitchen	according to the context sentences, daniel discarded the apple, so
2	5	"Mary moved to the kitchen.
Mary travelled to the office.
Daniel grabbed the football there.
Mary moved to the hallway.
Sandra moved to the bedroom.
Mary went back to the bedroom.
John grabbed the milk there.
John put down the milk.
Daniel journeyed to the bathroom.
Sandra journeyed to the bathroom.
John got the milk there.
Mary took the apple there.
Mary left the apple.
John journeyed to the bedroom.
Where is the apple?"	bedroom	according to the context sentences, mary left the apple, and
2	5	" 
Mary travelled to the office.
Daniel put down the football.
Where is the apple?"	bedroom	since mary left the apple, and she travelled to the office
2	5	" 
John went back to the kitchen.
Sandra got the football there.
John travelled to the hallway.
Sandra discarded the football there.
Where is the football?"	bathroom	according to the context sentences, sandra discarded the football in the
2	5	" 
John left the milk.
John grabbed the milk there.
Where is the football?"	bathroom	the context sentences don't mention the football being in the location
2	5	" 
Mary went to the hallway.
John moved to the bedroom.
Where is the milk?"	bedroom	according to the context sentences, john left the milk, and
3	1	"Mary got the milk.
John moved to the bedroom.
Daniel journeyed to the office.
John grabbed the apple there.
John got the football.
John journeyed to the garden.
Mary left the milk.
John left the football.
Daniel moved to the garden.
Daniel grabbed the football.
Mary moved to the hallway.
Mary went to the kitchen.
John put down the apple there.
John picked up the apple.
Sandra moved to the hallway.
Daniel left the football there.
Daniel took the football.
John travelled to the kitchen.
Daniel dropped the football.
John dropped the apple.
John grabbed the apple.
John went to the office.
Sandra went back to the bedroom.
Sandra took the milk.
John journeyed to the bathroom.
John travelled to the office.
Sandra left the milk.
Mary went to the bedroom.
Mary moved to the office.
John travelled to the hallway.
Sandra moved to the garden.
Mary moved to the kitchen.
Daniel took the football.
Mary journeyed to the bedroom.
Mary grabbed the milk there.
Mary discarded the milk.
John went to the garden.
John discarded the apple there.
Where was the apple before the bathroom?"	office	according to the context sentences, before john journeyed to the	0.0	0.0
3	1	" 
Sandra travelled to the bedroom.
Daniel moved to the bathroom.
Where was the apple before the hallway?"	office	according to the context sentences, before john travelled to the hallway
3	1	" 
Sandra got the milk.
Daniel travelled to the garden.
Where was the apple before the hallway?"	office	according to the context sentences, before john travelled to the hallway
3	1	" 
Sandra went back to the bathroom.
Daniel took the apple there.
Mary went back to the hallway.
Daniel went to the hallway.
Sandra went to the kitchen.
Mary journeyed to the bedroom.
Sandra journeyed to the hallway.
Daniel put down the apple.
Daniel put down the football there.
Sandra journeyed to the garden.
Where was the football before the garden?"	bathroom	according to the context sentences, before sandra journeyed to the
3	1	" 
Mary travelled to the office.
Sandra dropped the milk.
Where was the football before the garden?"	bathroom	according to the context sentences, before sandra journeyed to the
3	2	"John went back to the kitchen.
Daniel picked up the milk.
Sandra went back to the bedroom.
Mary moved to the garden.
Sandra got the apple.
Mary journeyed to the office.
Mary journeyed to the garden.
Sandra went to the hallway.
Daniel moved to the bedroom.
Sandra grabbed the football.
Daniel discarded the milk.
John journeyed to the garden.
John went to the hallway.
Mary journeyed to the office.
John journeyed to the bedroom.
Sandra moved to the garden.
John travelled to the garden.
Daniel grabbed the milk.
Mary journeyed to the bathroom.
Daniel dropped the milk.
Daniel went to the office.
Daniel travelled to the garden.
John went back to the bedroom.
Sandra discarded the football.
Mary went back to the hallway.
John journeyed to the garden.
Daniel went back to the hallway.
John went to the bedroom.
Sandra travelled to the bathroom.
John moved to the hallway.
Daniel travelled to the kitchen.
Daniel journeyed to the bedroom.
John journeyed to the office.
Mary travelled to the garden.
Daniel went to the hallway.
Daniel went to the garden.
Daniel travelled to the hallway.
Mary journeyed to the bathroom.
John travelled to the kitchen.
Sandra dropped the apple.
Where was the apple before the bathroom?"	garden	according to the context sentences, sandra got the apple before any
3	2	" 
Sandra grabbed the apple there.
Mary went to the office.
Sandra left the apple there.
Daniel went to the bedroom.
Sandra went back to the bedroom.
Mary travelled to the hallway.
Mary went to the office.
Sandra took the milk.
Mary went to the bathroom.
John moved to the bathroom.
Daniel moved to the kitchen.
Mary grabbed the apple.
Daniel moved to the office.
Sandra went to the kitchen.
Sandra went back to the office.
Mary dropped the apple.
Sandra dropped the milk.
John went to the kitchen.
Where was the milk before the office?"	kitchen	according to the context sentences, daniel picked up the milk initially
3	2	" 
Daniel grabbed the milk.
Mary picked up the apple.
Sandra went back to the hallway.
Daniel journeyed to the hallway.
John moved to the bedroom.
John went to the bathroom.
Daniel discarded the milk there.
Mary moved to the kitchen.
Mary journeyed to the office.
Daniel got the milk.
John moved to the garden.
Sandra travelled to the kitchen.
Mary put down the apple.
John took the football.
Where was the apple before the office?"	kitchen	according to the context sentences, mary picked up the apple initially
3	2	" 
Sandra travelled to the garden.
Sandra travelled to the bedroom.
Where was the apple before the office?"	kitchen	according to the context sentences, mary put down the apple before
3	2	" 
Mary got the apple.
Sandra travelled to the hallway.
Mary put down the apple there.
Mary grabbed the apple.
Mary moved to the bedroom.
Daniel left the milk.
Daniel got the milk there.
John left the football.
John moved to the bathroom.
Mary went to the office.
John went back to the office.
John went back to the bathroom.
Mary dropped the apple.
Sandra went to the kitchen.
Where was the apple before the office?"	bedroom	according to the context sentences, mary put down the apple in
3	3	"Sandra moved to the bathroom.
John picked up the football.
John dropped the football.
Daniel went to the kitchen.
Daniel got the apple.
John went to the kitchen.
Mary went back to the hallway.
Daniel travelled to the office.
John travelled to the garden.
John journeyed to the kitchen.
Mary moved to the kitchen.
Daniel moved to the garden.
Mary journeyed to the bathroom.
Daniel grabbed the milk.
Mary went to the hallway.
Mary got the football there.
Mary dropped the football.
Sandra moved to the bedroom.
Mary went back to the office.
John travelled to the office.
Mary went back to the bathroom.
John moved to the hallway.
Sandra went to the office.
Mary journeyed to the kitchen.
Sandra travelled to the garden.
John went back to the garden.
Sandra went back to the office.
Mary went to the hallway.
Daniel went to the bedroom.
Mary picked up the football there.
John travelled to the kitchen.
Mary moved to the bedroom.
Sandra went to the bathroom.
Daniel put down the milk.
Daniel discarded the apple.
Mary took the milk.
Where was the apple before the bedroom?"	garden	according to the context sentences, daniel got the apple in the
3	3	" 
Daniel went to the office.
Mary dropped the milk.
Where was the apple before the bedroom?"	garden	according to the context sentences, daniel got the apple in the
3	3	" 
Mary discarded the football.
John went back to the garden.
Sandra went to the bedroom.
Daniel travelled to the bathroom.
Sandra picked up the milk.
Sandra moved to the hallway.
Sandra dropped the milk.
Sandra took the milk.
Sandra discarded the milk.
Sandra got the milk.
Mary got the football.
Sandra journeyed to the garden.
Daniel went back to the hallway.
John moved to the kitchen.
Sandra went back to the bathroom.
Mary got the apple.
Daniel moved to the kitchen.
Mary put down the football.
John journeyed to the garden.
Daniel went to the bedroom.
Mary left the apple.
Daniel took the apple.
John moved to the hallway.
Sandra put down the milk.
Where was the milk before the bathroom?"	garden	according to the context sentences, sandra picked up the milk in
3	3	" 
Daniel dropped the apple there.
Sandra moved to the kitchen.
Where was the milk before the bathroom?"	garden	according to the context sentences, sandra got the milk in the
3	3	" 
Mary journeyed to the office.
John travelled to the office.
Where was the milk before the bathroom?"	garden	according to the context sentences, sandra picked up the milk in
3	4	"Daniel moved to the bathroom.
John got the football.
Sandra grabbed the milk.
Sandra put down the milk.
Daniel journeyed to the bedroom.
Sandra took the milk.
Sandra put down the milk there.
John put down the football.
Mary travelled to the hallway.
John took the football.
Sandra went back to the office.
Mary moved to the garden.
Daniel moved to the garden.
Daniel went back to the office.
Sandra journeyed to the hallway.
Mary went to the office.
Sandra went back to the office.
Sandra moved to the bathroom.
John dropped the football.
Sandra got the football.
Sandra left the football there.
Daniel moved to the bedroom.
Daniel journeyed to the office.
John went back to the office.
Sandra got the football.
Sandra discarded the football.
Mary travelled to the bathroom.
Mary got the football.
Mary went back to the kitchen.
Mary journeyed to the garden.
Where was the football before the garden?"	kitchen	according to the context sentences, before the garden, the football
3	4	" 
Mary journeyed to the bedroom.
Mary took the milk.
Where was the football before the garden?"	kitchen	according to the context sentences, before the garden, the football
3	4	" 
John went to the kitchen.
Mary travelled to the garden.
John grabbed the apple.
John discarded the apple.
John travelled to the garden.
Mary went to the bedroom.
Mary discarded the milk.
John went back to the office.
Where was the milk before the bedroom?"	garden	according to the context sentences, before the bedroom, the milk
3	4	" 
Mary went back to the bathroom.
Mary journeyed to the garden.
Where was the milk before the bedroom?"	garden	according to the context sentences, before the bedroom, the milk
3	4	" 
Daniel journeyed to the kitchen.
John went back to the garden.
Daniel grabbed the apple.
John went to the hallway.
Mary went back to the office.
Mary left the football.
Where was the football before the bathroom?"	bedroom	according to the context sentences, before the bathroom, the football
3	5	"John took the football.
Daniel went back to the garden.
Mary moved to the bathroom.
Mary went to the bedroom.
Mary went to the hallway.
John dropped the football.
Daniel journeyed to the hallway.
Sandra grabbed the football.
John moved to the office.
Sandra put down the football.
Sandra took the football.
Daniel went to the bedroom.
Mary moved to the office.
Mary journeyed to the bedroom.
Mary grabbed the apple there.
Sandra went back to the kitchen.
Sandra picked up the milk there.
Mary discarded the apple.
John went back to the bathroom.
Mary got the apple.
Mary left the apple.
Mary took the apple.
Mary put down the apple.
Sandra put down the milk.
Daniel went to the kitchen.
Sandra journeyed to the office.
Sandra journeyed to the bedroom.
John moved to the garden.
Sandra journeyed to the garden.
Mary got the apple.
Mary discarded the apple.
Mary travelled to the hallway.
Daniel went to the garden.
Sandra went back to the hallway.
Sandra travelled to the garden.
Sandra went back to the office.
Daniel went to the bathroom.
Sandra dropped the football.
Where was the football before the hallway?"	garden	according to the context sentences, before sandra went to the hallway
3	5	" 
Mary went back to the kitchen.
Mary went back to the hallway.
Where was the football before the office?"	garden	according to the context sentences, before john moved to the office
3	5	" 
Sandra went back to the hallway.
Mary journeyed to the bathroom.
Where was the football before the garden?"	hallway	according to the context sentences, before john moved to the garden
3	5	" 
John travelled to the bathroom.
Sandra journeyed to the office.
John went to the bedroom.
Sandra went back to the bedroom.
John took the apple.
John went to the office.
Sandra travelled to the kitchen.
John put down the apple.
Daniel travelled to the bedroom.
John journeyed to the bedroom.
John went to the garden.
Daniel went to the hallway.
Daniel went to the office.
Sandra grabbed the milk there.
Mary went to the garden.
Sandra went back to the office.
John travelled to the office.
Sandra journeyed to the kitchen.
Where was the milk before the kitchen?"	office	according to the context sentences, sandra picked up the milk in
3	5	" 
Daniel went to the garden.
John grabbed the football.
Sandra went to the bedroom.
John grabbed the apple.
Daniel went back to the bathroom.
Daniel went back to the office.
Mary moved to the hallway.
Mary travelled to the kitchen.
John discarded the football.
John dropped the apple.
Mary went to the hallway.
John grabbed the apple.
John got the football.
Sandra put down the milk.
Where was the milk before the bedroom?"	kitchen	according to the context sentences, sandra grabbed the milk in
4	1	"The hallway is east of the bathroom.
The bedroom is west of the bathroom.
What is the bathroom east of?"	bedroom	according to the context sentences, the hallway is east of the	0.0	0.8
4	2	"The bedroom is west of the kitchen.
The hallway is west of the bedroom.
What is west of the kitchen?"	bedroom	according to the context sentences, the bedroom is west of the
4	3	"The bathroom is north of the garden.
The hallway is north of the bathroom.
What is north of the garden?"	bathroom	according to the context sentences, the bathroom is north of the
4	4	"The kitchen is south of the bathroom.
The bedroom is south of the kitchen.
What is south of the kitchen?"	bedroom	according to the context sentences, the bedroom is south of the
4	5	"The bedroom is east of the kitchen.
The office is east of the bedroom.
What is east of the kitchen?"	bedroom	according to the context sentences, the bedroom is east of the
5	1	"Fred picked up the football there.
Fred gave the football to Jeff.
What did Fred give to Jeff?"	football	the football.	0.0	0.32
5	1	" 
Bill went back to the bathroom.
Jeff grabbed the milk there.
Who gave the football to Jeff?"	Fred	fred gave the football to jeff.
5	1	" 
Jeff gave the football to Fred.
Fred handed the football to Jeff.
What did Fred give to Jeff?"	football	the football.
5	1	" 
Jeff handed the football to Fred.
Fred gave the football to Jeff.
Who did Fred give the football to?"	Jeff	fred gave the football to jeff.
5	1	" 
Jeff gave the football to Fred.
Jeff put down the milk.
Who did Jeff give the football to?"	Fred	jeff gave the football to fred.
5	2	"Mary moved to the hallway.
Jeff moved to the garden.
Jeff got the apple there.
Mary journeyed to the kitchen.
Fred travelled to the garden.
Jeff gave the apple to Fred.
Who gave the apple?"	Jeff	according to the context sentences, jeff gave the apple to fred
5	2	" 
Fred travelled to the hallway.
Fred handed the apple to Bill.
Who received the apple?"	Bill	according to the context sentences, bill received the apple.
5	2	" 
Bill handed the apple to Fred.
Mary got the football there.
What did Bill give to Fred?"	apple	according to the context sentences, bill gave the apple to fred
5	2	" 
Fred handed the apple to Bill.
Bill gave the apple to Fred.
What did Bill give to Fred?"	apple	according to the context sentences, bill gave the apple to fred
5	2	" 
Mary travelled to the bedroom.
Mary took the milk there.
Who received the apple?"	Fred	there is no mention of an apple in the context sentences.
5	3	"Fred journeyed to the bedroom.
Fred got the milk there.
Fred went back to the kitchen.
Bill picked up the football there.
Fred handed the milk to Mary.
Mary moved to the garden.
Who received the milk?"	Mary	according to the context sentences, fred handed the milk to mary
5	3	" 
Bill dropped the football.
Mary gave the milk to Bill.
What did Mary give to Bill?"	milk	according to the context sentences, mary gave the milk to bill
5	3	" 
Bill handed the milk to Mary.
Mary passed the milk to Bill.
Who received the milk?"	Bill	according to the context sentences, bill received the milk.
5	3	" 
Jeff went to the garden.
Jeff journeyed to the kitchen.
Who did Mary give the milk to?"	Bill	according to the context sentences, mary gave the milk to bill
5	3	" 
Jeff moved to the bedroom.
Bill picked up the football there.
What did Mary give to Bill?"	milk	according to the context sentences, mary gave the milk to bill
5	4	"Fred got the football there.
Fred travelled to the garden.
Fred passed the football to Jeff.
Mary went to the kitchen.
Who received the football?"	Jeff	according to the context sentences, jeff received the football.
5	4	" 
Jeff passed the football to Fred.
Fred handed the football to Jeff.
Who gave the football to Jeff?"	Fred	according to the context sentences, fred gave the football to jeff
5	4	" 
Mary grabbed the milk there.
Jeff journeyed to the kitchen.
What did Fred give to Jeff?"	football	according to the context sentences, fred gave the football to jeff
5	4	" 
Jeff moved to the garden.
Bill travelled to the bedroom.
Who received the football?"	Jeff	according to the context sentences, jeff received the football.
5	4	" 
Jeff put down the football.
Bill took the apple there.
Jeff went back to the bathroom.
Jeff journeyed to the office.
Fred grabbed the football there.
Fred left the football.
Fred moved to the bathroom.
Mary discarded the milk.
Fred travelled to the hallway.
Bill left the apple.
Fred moved to the bathroom.
Bill grabbed the apple there.
Bill dropped the apple there.
Mary picked up the milk there.
Bill travelled to the hallway.
Mary went back to the office.
Bill moved to the garden.
Mary passed the milk to Jeff.
Who gave the milk?"	Mary	according to the context sentences, mary gave the milk to jeff
5	5	"Fred travelled to the kitchen.
Bill travelled to the office.
Mary travelled to the office.
Jeff went back to the kitchen.
Bill travelled to the hallway.
Fred went to the bathroom.
Mary travelled to the hallway.
Mary travelled to the bedroom.
Fred journeyed to the hallway.
Mary moved to the bathroom.
Bill went back to the kitchen.
Bill went to the hallway.
Mary journeyed to the kitchen.
Mary went to the bathroom.
Jeff journeyed to the office.
Fred travelled to the garden.
Fred grabbed the football there.
Fred discarded the football.
Bill travelled to the kitchen.
Jeff went to the garden.
Jeff travelled to the bedroom.
Jeff moved to the garden.
Jeff grabbed the football there.
Jeff went back to the bedroom.
Jeff journeyed to the office.
Bill travelled to the hallway.
Jeff left the football.
Bill went to the bedroom.
Jeff got the milk there.
Mary went to the kitchen.
Bill went to the kitchen.
Jeff journeyed to the bathroom.
Bill went to the hallway.
Jeff dropped the milk.
Mary went to the hallway.
Mary went to the kitchen.
Fred travelled to the office.
Fred went back to the hallway.
Jeff got the milk there.
Fred travelled to the office.
Bill went to the garden.
Mary journeyed to the bathroom.
Fred went back to the bathroom.
Fred journeyed to the office.
Jeff passed the milk to Mary.
Fred grabbed the football there.
What did Jeff give to Mary?"	milk	according to the context, jeff gave the milk to mary.
5	5	" 
Mary passed the milk to Jeff.
Fred dropped the football.
Who gave the milk to Jeff?"	Mary	according to the context, mary passed the milk to jeff.
5	5	" 
Fred got the football there.
Bill went to the hallway.
Who gave the milk to Jeff?"	Mary	according to the context, mary passed the milk to jeff.
5	5	" 
Jeff dropped the milk.
Mary moved to the garden.
Jeff got the milk there.
Fred discarded the football.
Fred journeyed to the hallway.
Jeff discarded the milk.
Bill travelled to the bedroom.
Bill went back to the hallway.
Bill travelled to the office.
Jeff took the milk there.
Fred went to the office.
Fred travelled to the hallway.
Mary journeyed to the kitchen.
Bill grabbed the apple there.
Bill travelled to the bathroom.
Bill passed the apple to Jeff.
Who gave the apple to Jeff?"	Bill	according to the context, bill passed the apple to jeff.
5	5	" 
Jeff handed the apple to Bill.
Bill dropped the apple.
Who gave the apple?"	Jeff	according to the context, bill grabbed the apple and then passed
6	1	"Mary got the milk there.
John moved to the bedroom.
Is John in the kitchen?"	no	no, john is not in the kitchen.	0.0	0.76
6	1	" 
Mary discarded the milk.
John went to the garden.
Is John in the kitchen?"	no	no, john is not in the kitchen.
6	1	" 
Daniel moved to the bedroom.
Daniel went to the garden.
Is John in the garden?"	yes	no, john is not in the garden.
6	1	" 
Daniel travelled to the bathroom.
Sandra travelled to the bedroom.
Is Daniel in the bathroom?"	yes	no, daniel is not in the bathroom.
6	1	" 
Mary took the football there.
Sandra grabbed the milk there.
Is Daniel in the bedroom?"	no	yes, daniel is in the bedroom.
6	2	"Daniel went back to the kitchen.
Mary grabbed the apple there.
Is Daniel in the office?"	no	no, according to the context, daniel went back to the
6	2	" 
Daniel journeyed to the office.
John went back to the office.
Is Daniel in the hallway?"	no	no, according to the context, daniel journeyed to the
6	2	" 
Mary left the apple.
Daniel went to the hallway.
Is Daniel in the hallway?"	yes	yes, according to the context, daniel went to the hallway
6	2	" 
John went to the hallway.
Daniel picked up the milk there.
Is John in the kitchen?"	no	no, according to the context, john went to the hallway
6	2	" 
John grabbed the football there.
Mary got the apple there.
Is Daniel in the hallway?"	yes	yes, according to the context, daniel picked up the milk
6	3	"John moved to the hallway.
Sandra went to the bedroom.
Is John in the hallway?"	yes	yes, john is in the hallway.
6	3	" 
Sandra travelled to the garden.
John got the football there.
Is John in the bedroom?"	no	no, john is not in the bedroom.
6	3	" 
Daniel went back to the bedroom.
Mary moved to the bathroom.
Is Sandra in the garden?"	yes	yes, sandra is in the garden.
6	3	" 
Mary went to the kitchen.
Sandra went to the hallway.
Is Mary in the kitchen?"	yes	yes, mary is in the kitchen.
6	3	" 
Sandra travelled to the kitchen.
John dropped the football.
Is Mary in the kitchen?"	yes	yes, mary is in the kitchen.
6	4	"John journeyed to the hallway.
John got the apple there.
Is John in the hallway?"	yes	yes, john is in the hallway.
6	4	" 
Daniel journeyed to the hallway.
Daniel went back to the kitchen.
Is John in the hallway?"	yes	no, john is not in the hallway.
6	4	" 
John put down the apple.
Daniel went back to the garden.
Is Daniel in the kitchen?"	no	no, daniel is not in the kitchen.
6	4	" 
John travelled to the bedroom.
Sandra journeyed to the bedroom.
Is John in the bathroom?"	no	no, john is not in the bathroom.
6	4	" 
Sandra travelled to the bathroom.
John went to the office.
Is Daniel in the bedroom?"	no	no, daniel is not in the bedroom.
6	5	"Daniel grabbed the apple there.
Mary travelled to the bedroom.
Is Mary in the bedroom?"	yes	according to the context sentences, mary is in the kitchen,
6	5	" 
Sandra got the milk there.
Daniel moved to the hallway.
Is Mary in the kitchen?"	no	according to the context sentences, yes, mary is still in
6	5	" 
Daniel moved to the bathroom.
Mary took the football there.
Is Daniel in the bathroom?"	yes	according to the context sentences, yes, daniel is in the
6	5	" 
Daniel discarded the apple.
Sandra journeyed to the hallway.
Is Sandra in the bedroom?"	no	according to the context sentences, no, sandra is in the
6	5	" 
Sandra dropped the milk.
John went back to the hallway.
Is John in the bedroom?"	no	according to the context sentences, no, john is on the
7	1	"Mary got the milk there.
John moved to the bedroom.
How many objects is Mary carrying?"	one	according to the context, mary got the milk there, which	0.0	0.0
7	1	" 
Sandra went back to the bathroom.
John got the football there.
How many objects is Mary carrying?"	one	the question is still about mary, but the new information doesn
7	1	" 
Mary journeyed to the bathroom.
Mary gave the milk to Sandra.
How many objects is Mary carrying?"	none	according to the new information, mary gave the milk to sandra
7	1	" 
John went back to the bathroom.
John left the football.
How many objects is John carrying?"	none	according to the new information, john left the football, which
7	1	" 
Sandra gave the milk to John.
John journeyed to the garden.
How many objects is John carrying?"	one	according to the new information, sandra gave the milk to john
7	2	"Daniel took the milk there.
John moved to the hallway.
How many objects is Daniel carrying?"	one	the context sentences do not mention daniel carrying any objects, so
7	2	" 
Daniel left the milk.
Daniel journeyed to the office.
How many objects is Daniel carrying?"	none	"according to the sentence ""daniel took the milk there"", daniel"
7	2	" 
John went back to the office.
John went to the hallway.
How many objects is Daniel carrying?"	none	the question is asking about daniel, but the sentences only mention
7	2	" 
Mary travelled to the bedroom.
Mary got the football there.
How many objects is Mary carrying?"	one	"according to the sentence ""mary got the football there"", mary"
7	2	" 
Sandra went back to the kitchen.
Daniel moved to the kitchen.
How many objects is Mary carrying?"	one	the question is asking about mary, but the sentences only mention
7	3	"Sandra went to the hallway.
Sandra grabbed the apple there.
How many objects is Sandra carrying?"	one	according to the context, sandra is carrying 1 object,
7	3	" 
Daniel moved to the kitchen.
Sandra got the milk there.
How many objects is Sandra carrying?"	two	according to the context, sandra is still carrying 1 object
7	3	" 
Mary got the football there.
Sandra went back to the office.
How many objects is Mary carrying?"	one	according to the context, mary is carrying 1 object,
7	3	" 
Sandra put down the apple.
Daniel journeyed to the hallway.
How many objects is Sandra carrying?"	one	according to the context, sandra is not carrying any objects.
