entry_id	line_id	part_id	task_id	sample_id	context/question	human_subjects	non_human_subjects	subj_attributes	relations	generalized_relations	locations	direct_objects	obj_attributes	indirect_objects	result_relation	reasoning	implicit_object	implicit_relation	implicit_location	golden_answer	golden_supporting_facts
195	18	4	3	19	John travelled to the office.	John			travel	move	office				be						
196	19	4	3	19	Daniel travelled to the bedroom.	Daniel			travel	move	bedroom				be						
197	20	4	3	19	John went to the garden.	John			go	move	garden				be						
198	21	4	3	19	John journeyed to the bedroom.	John			journey	move	bedroom				be						
199	22	4	3	19	Sandra travelled to the bathroom.	Sandra			travel	move	bathroom				be						
200	23	4	3	19	Sandra journeyed to the garden.	Sandra			journey	move	garden				be						
201	24	4	3	19	Mary moved to the kitchen.	Mary			move	move	kitchen				be						
202	25	4	3	19	Daniel travelled to the kitchen.	Daniel			travel	move	kitchen				be						
203	26	4	3	19	Sandra travelled to the hallway.	Sandra			travel	move	hallway				be						
204	27	4	3	19	John travelled to the kitchen.	John			travel	move	kitchen				be						
205	28	4	3	19	Sandra went back to the office.	Sandra			go	move	office				be						
206	29	4	3	19	John went to the bedroom.	John			go	move	bedroom				be						
207	30	4	3	19	Daniel journeyed to the bathroom.	Daniel			journey	move	bathroom				be						
208	31	4	3	19	John went back to the bathroom.	John			go	move	bathroom				be						
209	32	4	3	19	Sandra moved to the hallway.	Sandra			move	move	hallway				be						
210	33	4	3	19	Daniel got the football.	Daniel			get	take		football			have						
211	34	4	3	19	Mary moved to the bathroom.	Mary			move	move	bathroom				be						
212	35	4	3	19	Daniel went to the office.	Daniel			go	move	office				be						
213	36	4	3	19	Sandra went back to the garden.	Sandra			go	move	garden				be						
214	37	4	3	19	Sandra took the milk.	Sandra			take	take		milk			have						
215	38	4	3	19	Sandra dropped the milk.	Sandra			drop	put		milk			not have						
216	39	4	3	19	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
217	40	4	3	19	Daniel went back to the kitchen.	Daniel			go	move	kitchen				be						
218	41	4	3	19	Daniel dropped the football.	Daniel			drop	put		football			not have						
219	42	4	3	19	Where was the football before the kitchen?		football		be	be					be					hallway	41 40 39
220	43	5	3	19	John moved to the hallway.	John			move	move	hallway				be						
221	44	5	3	19	Daniel journeyed to the hallway.	Daniel			journey	move	hallway				be						
222	45	5	3	19	Where was the football before the kitchen?		football		be	be					be					hallway	41 40 39
223	1	1	3	20	Sandra took the football.	Sandra			take	take		football			have						
224	2	1	3	20	Sandra travelled to the garden.	Sandra			travel	move	garden				be						
225	3	1	3	20	Mary journeyed to the office.	Mary			journey	move	office				be						
226	4	1	3	20	Mary went to the bathroom.	Mary			go	move	bathroom				be						
227	5	1	3	20	Sandra put down the football.	Sandra			put down	put		football			not have						
228	6	1	3	20	Sandra went back to the bathroom.	Sandra			go	move	bathroom				be						
229	7	1	3	20	Daniel went to the garden.	Daniel			go	move	garden				be						
230	8	1	3	20	John went to the hallway.	John			go	move	hallway				be						
231	9	1	3	20	Sandra journeyed to the hallway.	Sandra			journey	move	hallway				be						
232	10	1	3	20	Daniel got the football there.	Daniel			get	take	there	football			have						
233	11	1	3	20	John got the apple.	John			get	take		apple			have						
234	12	1	3	20	Mary went back to the kitchen.	Mary			go	move	kitchen				be						
235	13	1	3	20	Daniel discarded the football there.	Daniel			discard	put	there	football			not have						
236	14	1	3	20	John left the apple.	John			leave	put		apple			not have						
237	15	1	3	20	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
238	16	1	3	20	John grabbed the apple.	John			grab	take		apple			have						
239	17	1	3	20	John moved to the kitchen.	John			move	move	kitchen				be						
240	18	1	3	20	John discarded the apple.	John			discard	put		apple			not have						
241	19	1	3	20	Mary grabbed the apple.	Mary			grab	take		apple			have						
242	20	1	3	20	Daniel got the football.	Daniel			get	take		football			have						
243	21	1	3	20	Daniel went to the kitchen.	Daniel			go	move	kitchen				be						
244	22	1	3	20	Daniel went back to the bathroom.	Daniel			go	move	bathroom				be						
245	23	1	3	20	Where was the football before the bathroom?		football		be	be					be					kitchen	20 22 21
246	24	2	3	20	Sandra went back to the kitchen.	Sandra			go	move	kitchen				be						
247	25	2	3	20	Daniel dropped the football.	Daniel			drop	put		football			not have						
248	26	2	3	20	Where was the football before the bathroom?		football		be	be					be					kitchen	25 22 21
249	27	3	3	20	Daniel took the football there.	Daniel			take	take	there	football			have						
250	28	3	3	20	Mary left the apple.	Mary			leave	put		apple			not have						
251	29	3	3	20	Daniel journeyed to the kitchen.	Daniel			journey	move	kitchen				be						
252	30	3	3	20	John journeyed to the hallway.	John			journey	move	hallway				be						
253	31	3	3	20	Daniel picked up the apple.	Daniel			pick up	take		apple			have						
254	32	3	3	20	John went back to the garden.	John			go	move	garden				be						
255	33	3	3	20	Daniel dropped the football.	Daniel			drop	put		football			not have						
256	34	3	3	20	Daniel travelled to the hallway.	Daniel			travel	move	hallway				be						
257	35	3	3	20	John went to the bathroom.	John			go	move	bathroom				be						
258	36	3	3	20	Daniel went to the kitchen.	Daniel			go	move	kitchen				be						
259	37	3	3	20	Daniel grabbed the football.	Daniel			grab	take		football			have						
260	38	3	3	20	John travelled to the garden.	John			travel	move	garden				be						
261	39	3	3	20	Daniel went back to the bedroom.	Daniel			go	move	bedroom				be						
262	40	3	3	20	Sandra journeyed to the bedroom.	Sandra			journey	move	bedroom				be						
263	41	3	3	20	Daniel journeyed to the garden.	Daniel			journey	move	garden				be						
264	42	3	3	20	Daniel moved to the office.	Daniel			move	move	office				be						
265	43	3	3	20	Daniel dropped the football there.	Daniel			drop	put	there	football			not have						
266	44	3	3	20	John journeyed to the bedroom.	John			journey	move	bedroom				be						
267	45	3	3	20	Where was the football before the garden?		football		be	be	garden				be					bedroom	43 41 39
268	46	4	3	20	Daniel left the apple.	Daniel			leave	put		apple			not have						
269	47	4	3	20	Daniel went back to the garden.	Daniel			go	move	garden				be						
270	48	4	3	20	Where was the apple before the kitchen?		apple		be	be					be					hallway	46 36 34
271	49	5	3	20	Mary went to the office.	Mary			go	move	office				be						
272	50	5	3	20	Daniel travelled to the office.	Daniel			travel	move	office				be						
273	51	5	3	20	Where was the apple before the bedroom?		apple		be	be	bedroom				be					kitchen	46 39 36
274	1	1	4	98	The office is east of the kitchen.		office		"be
east"	east				kitchen							
275	2	1	4	98	The office is west of the hallway.		office		"be
west"	west				hallway							
276	3	1	4	98	What is the hallway east of?	East	hallway		be	be					be					office	2
277	1	1	4	99	The office is south of the bathroom.		office		be	be				bathroom	be						
278	2	1	4	99	The office is north of the bedroom.		office		"be
north"	north				bedroom							
279	3	1	4	99	What is the bedroom south of?		bedroom		be	be					be					office	2
280	1	1	4	100	The bedroom is east of the bathroom.		bedroom		"be
east"	east				bathroom							
281	2	1	4	100	The office is west of the bathroom.		office		"be
west"	west				bathroom							
282	3	1	4	100	What is east of the bathroom?				"be
east"	east				bathroom						bedroom	1
283	1	1	5	18	Mary travelled to the hallway.	Mary			travel	move	hallway				be						
284	2	1	5	18	Mary went back to the bathroom.	Mary			go	move	bathroom				be						
285	3	1	5	18	Bill journeyed to the bathroom.	Bill			journey	move	bathroom				be						
286	4	1	5	18	Jeff went to the office.	Jeff			go	move	office				be						
287	5	1	5	18	Mary went to the hallway.	Mary			go	move	hallway				be						
288	6	1	5	18	Jeff grabbed the football there.	Jeff			grab	take	there	football			have						
289	7	1	5	18	Jeff grabbed the milk there.	Jeff			grab	take	there	milk			have						
290	8	1	5	18	Mary went back to the garden.	Mary			go	move	garden				be						
291	9	1	5	18	Bill moved to the garden.	Bill			move	move	garden				be						
292	10	1	5	18	Jeff left the football there.	Jeff			leave	put	there	football			not have						
293	11	1	5	18	Jeff put down the milk.	Jeff			put down	put		milk			not have						
294	12	1	5	18	Jeff moved to the garden.	Jeff			move	move	garden				be						
295	13	1	5	18	Fred went back to the garden.	Fred			go	move	garden				be						
296	14	1	5	18	Bill went back to the hallway.	Bill			go	move	hallway				be						
297	15	1	5	18	Bill journeyed to the bathroom.	Bill			journey	move	bathroom				be						
298	16	1	5	18	Bill moved to the kitchen.	Bill			move	move	kitchen				be						
299	17	1	5	18	Bill moved to the bathroom.	Bill			move	move	bathroom				be						
300	18	1	5	18	Mary journeyed to the kitchen.	Mary			journey	move	kitchen				be						
301	19	1	5	18	Fred went back to the kitchen.	Fred			go	move	kitchen				be						
302	20	1	5	18	Jeff travelled to the hallway.	Jeff			travel	move	hallway				be						
303	21	1	5	18	Jeff travelled to the garden.	Jeff			travel	move	garden				be						
304	22	1	5	18	Fred moved to the garden.	Fred			move	move	garden				be						
305	23	1	5	18	Bill moved to the office.	Bill			move	move	office				be						
306	24	1	5	18	Bill got the football there.	Bill			get	take	there	football			have						
307	25	1	5	18	Bill moved to the hallway.	Bill			move	move	hallway				be						
308	26	1	5	18	Fred went back to the office.	Fred			go	move	office				be						
309	27	1	5	18	Fred travelled to the bathroom.	Fred			travel	move	bathroom				be						
310	28	1	5	18	Fred went to the office.	Fred			go	move	office				be						
311	29	1	5	18	Fred journeyed to the kitchen.	Fred			journey	move	kitchen				be						
312	30	1	5	18	Bill dropped the football.	Bill			drop	put		football			not have						
313	31	1	5	18	Bill grabbed the football there.	Bill			grab	take	there	football			have						
314	32	1	5	18	Bill travelled to the bathroom.	Bill			travel	move	bathroom				be						
315	33	1	5	18	Bill travelled to the bedroom.	Bill			travel	move	bedroom				be						
316	34	1	5	18	Bill went back to the bathroom.	Bill			go	move	bathroom				be						
317	35	1	5	18	Mary went back to the office.	Mary			go	move	office				be						
318	36	1	5	18	Bill left the football.	Bill			leave	put		football			not have						
319	37	1	5	18	Mary grabbed the milk there.	Mary			grab	take	there	milk			have						
320	38	1	5	18	Fred moved to the bedroom.	Fred			move	move	bedroom				be						
321	39	1	5	18	Jeff travelled to the bedroom.	Jeff			travel	move	bedroom				be						
322	40	1	5	18	Bill went to the hallway.	Bill			go	move	hallway				be						
323	41	1	5	18	Jeff got the apple there.	Jeff			get	take	there	apple			have						
324	42	1	5	18	Jeff passed the apple to Fred.	Jeff			pass	give		apple		Fred	not have			have			
325	43	1	5	18	What did Jeff give to Fred?	Jeff			give	give				Fred	not have			have		apple	42
326	44	2	5	18	Mary left the milk.	Mary			leave	put		milk			not have						
327	45	2	5	18	Mary went to the bathroom.	Mary			go	move	bathroom				be						
328	46	2	5	18	Who did Jeff give the apple to?	Jeff			give	give		apple			not have			have		Fred	42
329	47	3	5	18	Fred dropped the apple.	Fred			drop	put		apple			not have						
330	48	3	5	18	Mary grabbed the football there.	Mary			grab	take	there	football			have						
331	49	3	5	18	Who did Jeff give the apple to?	Jeff			give	give		apple			not have			have		Fred	42
332	50	4	5	18	Fred picked up the apple there.	Fred			pick up	take	there	apple			have						
333	51	4	5	18	Jeff travelled to the bathroom.	Jeff			travel	move	bathroom				be						
334	52	4	5	18	Mary moved to the kitchen.	Mary			move	move	kitchen				be						
335	53	4	5	18	Mary discarded the football.	Mary			discard	put		football			not have						
336	54	4	5	18	Bill moved to the office.	Bill			move	move	office				be						
337	55	4	5	18	Jeff journeyed to the hallway.	Jeff			journey	move	hallway				be						
338	56	4	5	18	Mary grabbed the football there.	Mary			grab	take	there	football			have						
339	57	4	5	18	Fred dropped the apple there.	Fred			drop	put	there	apple			not have						
340	58	4	5	18	Mary journeyed to the bathroom.	Mary			journey	move	bathroom				be						
341	59	4	5	18	Fred went to the kitchen.	Fred			go	move	kitchen				be						
342	60	4	5	18	Bill grabbed the milk there.	Bill			grab	take	there	milk			have						
343	61	4	5	18	Mary journeyed to the office.	Mary			journey	move	office				be						
344	62	4	5	18	Mary gave the football to Bill.	Mary			give	give		football		Bill	not have			have			
345	63	4	5	18	Bill gave the football to Mary.	Bill			give	give		football		Mary	not have			have			
346	64	4	5	18	Who did Bill give the football to?	Bill			give	give		football			not have			have		Mary	63
347	65	5	5	18	Jeff journeyed to the garden.	Jeff			journey	move	garden				be						
348	66	5	5	18	Mary handed the football to Bill.	Mary			hand	give		football		Bill	not have			have			
349	67	5	5	18	Who received the football?	who			receive	have		football			have					Bill	66
350	1	1	5	19	Fred moved to the bedroom.	Fred			move	move	bedroom				be						
351	2	1	5	19	Mary travelled to the bedroom.	Mary			travel	move	bedroom				be						
352	3	1	5	19	Bill took the apple there.	Bill			take	take	there	apple			have						
353	4	1	5	19	Bill journeyed to the garden.	Bill			journey	move	garden				be						
354	5	1	5	19	Jeff grabbed the milk there.	Jeff			grab	take	there	milk			have						
355	6	1	5	19	Bill dropped the apple.	Bill			drop	put		apple			not have						
356	7	1	5	19	Mary went to the hallway.	Mary			go	move	hallway				be						
357	8	1	5	19	Fred journeyed to the office.	Fred			journey	move	office				be						
358	9	1	5	19	Mary went back to the kitchen.	Mary			go	move	kitchen				be						
359	10	1	5	19	Jeff handed the milk to Mary.	Jeff			hand	give		milk		Mary	not have			have			
360	11	1	5	19	Who received the milk?	who			receive	have		milk			have					Mary	10
361	12	2	5	19	Mary travelled to the office.	Mary			travel	move	office				be						
362	13	2	5	19	Bill grabbed the apple there.	Bill			grab	take	there	apple			have						
363	14	2	5	19	Who received the milk?	who			receive	have		milk			have					Mary	10
364	15	3	5	19	Mary gave the milk to Fred.	Mary			give	give		milk		Fred	not have			have			
